"protein","feature","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"81","sp|P0CX50|RL18B_YEAST;sp|P0CX49|RL18A_YEAST","sp|P0CX50|RL18B_YEAST;sp|P0CX49|RL18A_YEAST",-1.95,4.30722389363675e-10,4.18e-13,"conditionB-conditionA","YEAST","1","-1"
"82","sp|P48164|RS7B_YEAST","sp|P48164|RS7B_YEAST",-1.18,4.31681852690515e-10,4.23e-13,"conditionB-conditionA","YEAST","1","-1"
"83","sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST","sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST",-1.03,4.42094836362199e-10,4.58e-13,"conditionB-conditionA","YEAST","1","-1"
"84","sp|P16140|VATB_YEAST","sp|P16140|VATB_YEAST",-1.23,4.64869744169638e-10,5.36e-13,"conditionB-conditionA","YEAST","1","-1"
"85","sp|P38353|SSH1_YEAST","sp|P38353|SSH1_YEAST",-1.09,4.68071354645215e-10,5.45e-13,"conditionB-conditionA","YEAST","1","-1"
"86","sp|P31539|HS104_YEAST","sp|P31539|HS104_YEAST",-1.18,4.72826221021259e-10,5.64e-13,"conditionB-conditionA","YEAST","1","-1"
"87","sp|Q12230|LSP1_YEAST","sp|Q12230|LSP1_YEAST",-1.08,5.03070143770264e-10,6.94e-13,"conditionB-conditionA","YEAST","1","-1"
"88","sp|P0A6M8|EFG_ECOLI","sp|P0A6M8|EFG_ECOLI",1.96,5.116802227698e-10,7.32e-13,"conditionB-conditionA","ECOLI","1","2"
"89","sp|P11075|SEC7_YEAST","sp|P11075|SEC7_YEAST",-1.13,5.28057222101806e-10,8.47e-14,"conditionB-conditionA","YEAST","1","-1"
"90","sp|P10592|HSP72_YEAST","sp|P10592|HSP72_YEAST",-0.972,6.05145539762464e-10,1.27e-12,"conditionB-conditionA","YEAST","1","-1"
"91","sp|P40215|NDH1_YEAST","sp|P40215|NDH1_YEAST",-0.931,6.52862236827115e-10,1.61e-12,"conditionB-conditionA","YEAST","1","-1"
"92","sp|P0CX83|RL19B_YEAST;sp|P0CX82|RL19A_YEAST","sp|P0CX83|RL19B_YEAST;sp|P0CX82|RL19A_YEAST",-1.08,6.61974632651439e-10,1.68e-12,"conditionB-conditionA","YEAST","1","-1"
"93","sp|P22943|HSP12_YEAST","sp|P22943|HSP12_YEAST",-1.14,6.62794516636419e-10,1.69e-12,"conditionB-conditionA","YEAST","1","-1"
"94","sp|P00560|PGK_YEAST","sp|P00560|PGK_YEAST",-1,6.71314007014183e-10,1.76e-12,"conditionB-conditionA","YEAST","1","-1"
"95","sp|P00925|ENO2_YEAST","sp|P00925|ENO2_YEAST",-0.965,6.93799860915041e-10,1.94e-12,"conditionB-conditionA","YEAST","1","-1"
"96","sp|P10664|RL4A_YEAST","sp|P10664|RL4A_YEAST",-1.26,7.01168969194258e-10,2e-12,"conditionB-conditionA","YEAST","1","-1"
"97","sp|P09436|SYIC_YEAST","sp|P09436|SYIC_YEAST",-1.85,7.41914896977032e-10,2.39e-12,"conditionB-conditionA","YEAST","1","-1"
"98","sp|P0A7V8|RS4_ECOLI","sp|P0A7V8|RS4_ECOLI",1.81,7.72954329536066e-10,2.72e-12,"conditionB-conditionA","ECOLI","1","2"
"99","sp|P0ABB4|ATPB_ECOLI","sp|P0ABB4|ATPB_ECOLI",2.34,7.86420598406647e-10,3.46e-13,"conditionB-conditionA","ECOLI","1","2"
"100","sp|O14467|MBF1_YEAST","sp|O14467|MBF1_YEAST",-1.15,8.02030876579345e-10,3.04e-12,"conditionB-conditionA","YEAST","1","-1"
"101","sp|P38013|AHP1_YEAST","sp|P38013|AHP1_YEAST",-1.01,8.10233932644246e-10,3.13e-12,"conditionB-conditionA","YEAST","1","-1"
"102","sp|P26786|RS7A_YEAST","sp|P26786|RS7A_YEAST",-1.15,8.20799744975268e-10,3.26e-12,"conditionB-conditionA","YEAST","1","-1"
"103","sp|P00950|PMG1_YEAST","sp|P00950|PMG1_YEAST",-1.01,8.67400546032017e-10,3.87e-12,"conditionB-conditionA","YEAST","1","-1"
"104","sp|P0CX30|RS23B_YEAST;sp|P0CX29|RS23A_YEAST","sp|P0CX30|RS23B_YEAST;sp|P0CX29|RS23A_YEAST",-1.29,8.90598657780038e-10,4.19e-12,"conditionB-conditionA","YEAST","1","-1"
"105","sp|P23254|TKT1_YEAST","sp|P23254|TKT1_YEAST",-1.49,9.24306396236338e-10,4.69e-12,"conditionB-conditionA","YEAST","1","-1"
"106","sp|P0AF93|RIDA_ECOLI","sp|P0AF93|RIDA_ECOLI",1.66,9.40698731838539e-10,4.94e-12,"conditionB-conditionA","ECOLI","1","2"
"107","sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST","sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST",-1.1,9.83103450091569e-10,5.63e-12,"conditionB-conditionA","YEAST","1","-1"
"108","sp|P25443|RS2_YEAST","sp|P25443|RS2_YEAST",-0.981,9.97093434226086e-10,5.86e-12,"conditionB-conditionA","YEAST","1","-1"
"109","sp|P26783|RS5_YEAST","sp|P26783|RS5_YEAST",-0.975,9.97535002527922e-10,5.87e-12,"conditionB-conditionA","YEAST","1","-1"
"110","sp|P46655|SYEC_YEAST","sp|P46655|SYEC_YEAST",-1.2,1.03474314715681e-09,6.54e-12,"conditionB-conditionA","YEAST","1","-1"
"111","sp|P48589|RS12_YEAST","sp|P48589|RS12_YEAST",-1.13,1.10826651987944e-09,7.97e-12,"conditionB-conditionA","YEAST","1","-1"
"112","sp|P02359|RS7_ECOLI","sp|P02359|RS7_ECOLI",2.56,1.11419974770177e-09,1.14e-12,"conditionB-conditionA","ECOLI","1","2"
"113","sp|P0CX48|RS11B_YEAST;sp|P0CX47|RS11A_YEAST","sp|P0CX48|RS11B_YEAST;sp|P0CX47|RS11A_YEAST",-1.1,1.12352233419627e-09,8.29e-12,"conditionB-conditionA","YEAST","1","-1"
"114","sp|P07246|ADH3_YEAST","sp|P07246|ADH3_YEAST",-1.87,1.1355868740354e-09,8.54e-12,"conditionB-conditionA","YEAST","1","-1"
"115","sp|P0AG67|RS1_ECOLI","sp|P0AG67|RS1_ECOLI",2.69,1.15504780452257e-09,8.96e-12,"conditionB-conditionA","ECOLI","1","2"
"116","sp|P0CX46|RL2B_YEAST;sp|P0CX45|RL2A_YEAST","sp|P0CX46|RL2B_YEAST;sp|P0CX45|RL2A_YEAST",-1.13,1.17854058748421e-09,9.46e-12,"conditionB-conditionA","YEAST","1","-1"
"117","sp|P17709|HXKG_YEAST","sp|P17709|HXKG_YEAST",-1.07,1.18027504970806e-09,9.51e-12,"conditionB-conditionA","YEAST","1","-1"
"118","sp|P69783|PTGA_ECOLI","sp|P69783|PTGA_ECOLI",3.01,1.2117194206002e-09,1.02e-11,"conditionB-conditionA","ECOLI","1","2"
"119","sp|Q12499|NOP58_YEAST","sp|Q12499|NOP58_YEAST",-2.05,1.21180066466595e-09,1.02e-11,"conditionB-conditionA","YEAST","1","-1"
"120","sp|P19097|FAS2_YEAST","sp|P19097|FAS2_YEAST",-1.52,1.21587815300954e-09,1.03e-11,"conditionB-conditionA","YEAST","1","-1"
"121","sp|P41277|GPP1_YEAST","sp|P41277|GPP1_YEAST",-1.1,1.30110254986643e-09,1.27e-11,"conditionB-conditionA","YEAST","1","-1"
"122","sp|P23248|RS3A2_YEAST","sp|P23248|RS3A2_YEAST",-1.29,1.42842921358193e-09,1.67e-11,"conditionB-conditionA","YEAST","1","-1"
"123","sp|Q3E754|RS21B_YEAST;sp|P0C0V8|RS21A_YEAST","sp|Q3E754|RS21B_YEAST;sp|P0C0V8|RS21A_YEAST",-0.939,1.44203017450621e-09,1.71e-11,"conditionB-conditionA","YEAST","1","-1"
"124","sp|P04147|PABP_YEAST","sp|P04147|PABP_YEAST",-1.29,1.44820527777983e-09,1.73e-11,"conditionB-conditionA","YEAST","1","-1"
"125","sp|P0CX71|YE11A_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q12316|YG13B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0C2I5|YL12B_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|Q03612|YE11B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q99231|YD12B_YEAST;sp|Q92393|YO12B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q07793|YD13B_YEAST;sp|Q12269|YG12B_YEAST;sp|P47100|YJ12B_YEAST;sp|Q12141|YG11B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q04711|YM11B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q03434|YM12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q12193|YB12B_YEAST;sp|P0CX74|YJ11A_YEAST;sp|O13535|YH11B_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12217|YB12A_YEAST;sp|P0CX70|YD15A_YEAST;sp|Q03856|YD11A_YEAST;sp|P0CX73|YP11A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q04706|YM11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12441|YD12A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|Q12085|YG11A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12273|YO11B_YEAST;sp|Q99337|YN12B_YEAST;sp|Q12266|YB11A_YEAST;sp|Q04214|YM13B_YEAST;sp|Q12490|YB11B_YEAST;sp|Q04215|YM13A_YEAST;sp|Q12112|YN11B_YEAST;sp|Q03964|YD17A_YEAST;sp|Q12391|YN11A_YEAST","sp|P0CX71|YE11A_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q12414|YP11B_YEAST;sp|Q12316|YG13B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|P0C2I5|YL12B_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|Q03612|YE11B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q99231|YD12B_YEAST;sp|Q92393|YO12B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q07793|YD13B_YEAST;sp|Q12269|YG12B_YEAST;sp|P47100|YJ12B_YEAST;sp|Q12141|YG11B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q04711|YM11B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q03434|YM12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q12193|YB12B_YEAST;sp|P0CX74|YJ11A_YEAST;sp|O13535|YH11B_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q12217|YB12A_YEAST;sp|P0CX70|YD15A_YEAST;sp|Q03856|YD11A_YEAST;sp|P0CX73|YP11A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|Q04706|YM11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12441|YD12A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|Q12085|YG11A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12273|YO11B_YEAST;sp|Q99337|YN12B_YEAST;sp|Q12266|YB11A_YEAST;sp|Q04214|YM13B_YEAST;sp|Q12490|YB11B_YEAST;sp|Q04215|YM13A_YEAST;sp|Q12112|YN11B_YEAST;sp|Q03964|YD17A_YEAST;sp|Q12391|YN11A_YEAST",-1.34,1.53132157220899e-09,2.04e-11,"conditionB-conditionA","YEAST","1","-1"
"126","sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST","sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST",-0.964,1.53392575801897e-09,2.05e-11,"conditionB-conditionA","YEAST","1","-1"
"127","sp|P17967|PDI_YEAST","sp|P17967|PDI_YEAST",-1.25,1.57436347837563e-09,2.21e-11,"conditionB-conditionA","YEAST","1","-1"
"128","sp|P60010|ACT_YEAST","sp|P60010|ACT_YEAST",-1.15,1.68894310620558e-09,2.72e-11,"conditionB-conditionA","YEAST","1","-1"
"129","sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST","sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST",-1.06,1.77013717635136e-09,3.11e-11,"conditionB-conditionA","YEAST","1","-1"
