"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P38011.GBLP_YEAST","sp|P38011|GBLP_YEAST","-0.322079846704186","0.000261348005502063","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P38707.SYNC_YEAST.1","sp|P38707|SYNC_YEAST","-0.60540918373934","0.000275103163686382","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P25349.YCP4_YEAST","sp|P25349|YCP4_YEAST","-0.354667442299617","0.000276631514595751","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P06168.ILV5_YEAST.2","sp|P06168|ILV5_YEAST","-0.247866995248653","0.000280452391869173","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P46672.ARC1_YEAST.1","sp|P46672|ARC1_YEAST","-0.557940083895721","0.00029038667278007","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P16140.VATB_YEAST","sp|P16140|VATB_YEAST","-0.259920887167175","0.000305670181873758","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P40037.HMF1_YEAST.1","sp|P40037|HMF1_YEAST","-0.639727847031288","0.000305670181873758","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P04807.HXKB_YEAST","sp|P04807|HXKB_YEAST","-0.31846699171675","0.000320953690967446","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00549.KPYK1_YEAST.1","sp|P00549|KPYK1_YEAST","-0.557808934772378","0.000320953690967446","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX43.RL1A_YEAST.sp.P0CX44.RL1B_YEAST.2","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","-0.28307285130137","0.000326302919150237","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P13188.SYQ_YEAST","sp|P13188|SYQ_YEAST","-0.307410380644406","0.000336237200061134","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P14540.ALF_YEAST.1","sp|P14540|ALF_YEAST","-0.601020773767431","0.000336237200061134","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX47.RS11A_YEAST.sp.P0CX48.RS11B_YEAST.2","sp|P0CX47|RS11A_YEAST;sp|P0CX48|RS11B_YEAST","-0.242700356135124","0.000341586428243925","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P04840.VDAC1_YEAST","sp|P04840|VDAC1_YEAST","-0.363414924107603","0.000351520709154822","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P11484.SSB1_YEAST.1","sp|P11484|SSB1_YEAST","-0.571812414938115","0.000351520709154822","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P32471.EF1B_YEAST.2","sp|P32471|EF1B_YEAST","-0.244166849065191","0.000356869937337613","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q15311.RBP1_HUMAN","sp|Q15311|RBP1_HUMAN","-0.744015800434417","0.00036680421824851","0.0131578947368421","conditionC-conditionB","HUMAN","0","0"
"sp.P32449.AROG_YEAST.1","sp|P32449|AROG_YEAST","-0.628092016851546","0.00036680421824851","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00817.IPYR_YEAST","sp|P00817|IPYR_YEAST","-0.322145986517404","0.000382087727342198","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P04147.PABP_YEAST.1","sp|P04147|PABP_YEAST","-0.504149251938857","0.000382087727342198","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P46655.SYEC_YEAST.2","sp|P46655|SYEC_YEAST","-0.282554114436957","0.000388201130979673","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P38701.RS20_YEAST","sp|P38701|RS20_YEAST","-0.270867055979251","0.000397371236435886","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00360.G3P1_YEAST.1","sp|P00360|G3P1_YEAST","-0.50041644606452","0.000397371236435886","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q9H7B4.SMYD3_HUMAN.2","sp|Q9H7B4|SMYD3_HUMAN","0.788038966278758","0.000403484640073361","0.0434782608695652","conditionD-conditionC","HUMAN","0","0"
"sp.P40069.IMB4_YEAST","sp|P40069|IMB4_YEAST","-0.240302587098569","0.000412654745529574","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00950.PMG1_YEAST.1","sp|P00950|PMG1_YEAST","-0.536387424949165","0.000412654745529574","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P08524.ERG20_YEAST.1","sp|P08524|ERG20_YEAST","-0.509504519070155","0.000427938254623261","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P15992.HSP26_YEAST.2","sp|P15992|HSP26_YEAST","-0.297496584233222","0.000434051658260737","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P33442.RS3A1_YEAST.1","sp|P33442|RS3A1_YEAST","-0.556661424851589","0.000443221763716949","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P31539.HS104_YEAST","sp|P31539|HS104_YEAST","-0.295633631198767","0.000443985939171634","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q12402.YOP1_YEAST.2","sp|Q12402|YOP1_YEAST","-0.29372326347093","0.000449335167354425","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P31539.HS104_YEAST.1","sp|P31539|HS104_YEAST","-0.505323595521903","0.000458505272810637","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P10592.HSP72_YEAST","sp|P10592|HSP72_YEAST","-0.326534441659614","0.000459269448265322","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10664.RL4A_YEAST.2","sp|P10664|RL4A_YEAST","-0.211049563414855","0.000464618676448113","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P35691.TCTP_YEAST.1","sp|P35691|TCTP_YEAST","-0.566212386328145","0.000473788781904325","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00360.G3P1_YEAST","sp|P00360|G3P1_YEAST","-0.283290463273463","0.00047455295735901","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15992.HSP26_YEAST.1","sp|P15992|HSP26_YEAST","-0.552179366972986","0.000489072290998013","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P06168.ILV5_YEAST","sp|P06168|ILV5_YEAST","-0.270541744191041","0.000489836466452698","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P11484.SSB1_YEAST.2","sp|P11484|SSB1_YEAST","-0.232792495471724","0.000498242396454226","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P07245.C1TC_YEAST.1","sp|P07245|C1TC_YEAST","-0.601054747755791","0.000504355800091701","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P26783.RS5_YEAST","sp|P26783|RS5_YEAST","-0.239086782128155","0.000505119975546385","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10591.HSP71_YEAST.1","sp|P10591|HSP71_YEAST","-0.63083521359758","0.000519639309185389","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P07267.CARP_YEAST","sp|P07267|CARP_YEAST","-0.398046800171324","0.000520403484640073","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q03219.YM44_YEAST.2","sp|Q03219|YM44_YEAST","-0.54439922711197","0.000528809414641602","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P36008.EF1G2_YEAST.1","sp|P36008|EF1G2_YEAST","-0.492210197447108","0.000534922818279077","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P23254.TKT1_YEAST","sp|P23254|TKT1_YEAST","-0.315572715823114","0.000535686993733761","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P05748.RL15A_YEAST.2","sp|P05748|RL15A_YEAST","-0.226893646752433","0.00054409292373529","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX47.RS11A_YEAST.sp.P0CX48.RS11B_YEAST.1","sp|P0CX47|RS11A_YEAST;sp|P0CX48|RS11B_YEAST","-0.478112635291955","0.000550206327372765","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00360.G3P1_YEAST.2","sp|P00360|G3P1_YEAST","-0.217125982791057","0.000559376432828978","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02406.RL28_YEAST","sp|P02406|RL28_YEAST","-0.322241958408695","0.000564725661011768","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P02994.EF1A_YEAST.1","sp|P02994|EF1A_YEAST","-0.539048718316323","0.000565489836466453","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.313347407186388","0.000580009170105456","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P35997.RS27A_YEAST.sp.P38711.RS27B_YEAST.1","sp|P35997|RS27A_YEAST;sp|P38711|RS27B_YEAST","-0.512613176885313","0.000580773345560141","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P05738.RL9A_YEAST.2","sp|P05738|RL9A_YEAST","-0.281483937885763","0.000589179275561669","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P38011.GBLP_YEAST.1","sp|P38011|GBLP_YEAST","-0.540778130871708","0.000596056854653828","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38879.NACA_YEAST","sp|P38879|NACA_YEAST","-0.394002364998229","0.000608283661928779","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00359.G3P3_YEAST.1","sp|P00359|G3P3_YEAST","-0.557556955848643","0.000611340363747516","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P49626.RL4B_YEAST.2","sp|P49626|RL4B_YEAST","-0.261678245793359","0.000619746293749045","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX39.RS8A_YEAST.sp.P0CX40.RS8B_YEAST","sp|P0CX39|RS8A_YEAST;sp|P0CX40|RS8B_YEAST","-0.322463100178966","0.000623567171022467","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P07244.PUR2_YEAST.1","sp|P07244|PUR2_YEAST","-0.564359893861091","0.000626623872841204","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38088.SYG_YEAST.2","sp|P38088|SYG_YEAST","-0.225813558692932","0.000635029802842733","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P36010.NDK_YEAST","sp|P36010|NDK_YEAST","-0.294661248267593","0.000638850680116155","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q05016.YM71_YEAST.1","sp|Q05016|YM71_YEAST","-0.571343106090938","0.000641907381934892","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P49089.ASNS1_YEAST.2","sp|P49089|ASNS1_YEAST","-0.280300916465094","0.000650313311936421","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P10591.HSP71_YEAST","sp|P10591|HSP71_YEAST","-0.38607047928757","0.000654134189209843","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P38879.NACA_YEAST.1","sp|P38879|NACA_YEAST","-0.610852072319705","0.00065719089102858","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40303.PSA4_YEAST.2","sp|P40303|PSA4_YEAST","-0.367202753696583","0.000665596821030109","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX49.RL18A_YEAST.sp.P0CX50.RL18B_YEAST.1","sp|P0CX49|RL18A_YEAST;sp|P0CX50|RL18B_YEAST","-0.481134934780657","0.000672474400122268","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P33442.RS3A1_YEAST.2","sp|P33442|RS3A1_YEAST","-0.22552061863761","0.000680880330123796","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P04806.HXKA_YEAST","sp|P04806|HXKA_YEAST","-0.2948173453844","0.00068317285648785","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P25349.YCP4_YEAST.1","sp|P25349|YCP4_YEAST","-0.69993008572493","0.000687757909215956","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00950.PMG1_YEAST.2","sp|P00950|PMG1_YEAST","-0.23342206198263","0.000696163839217484","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P05030.PMA1_YEAST","sp|P05030|PMA1_YEAST","-0.258509878063062","0.000698456365581538","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P02400.RLA4_YEAST.1","sp|P02400|RLA4_YEAST","-0.538151245675689","0.000703041418309644","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00924.ENO1_YEAST.2","sp|P00924|ENO1_YEAST","-0.212588842102946","0.000711447348311172","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P04806.HXKA_YEAST.1","sp|P04806|HXKA_YEAST","-0.541835009294774","0.000718324927403332","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P49090.ASNS2_YEAST.2","sp|P49090|ASNS2_YEAST","-0.288610037602094","0.00072673085740486","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX55.RS18A_YEAST.sp.P0CX56.RS18B_YEAST","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","-0.356078219199087","0.000729023383768913","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q08971.YP225_YEAST.1","sp|Q08971|YP225_YEAST","-0.449809321933632","0.00073360843649702","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P54839.ERG13_YEAST.2","sp|P54839|ERG13_YEAST","-0.251094588187325","0.000742014366498548","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q00764.TPS1_YEAST","sp|Q00764|TPS1_YEAST","-0.435427063377329","0.000744306892862601","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P38701.RS20_YEAST.1","sp|P38701|RS20_YEAST","-0.498279180255146","0.000748891945590708","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P14832.CYPH_YEAST","sp|P14832|CYPH_YEAST","-0.309903502438322","0.000759590401956289","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15891.ABP1_YEAST.1","sp|P15891|ABP1_YEAST","-0.590318472020742","0.000764175454684396","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40217.EIF3I_YEAST.2","sp|P40217|EIF3I_YEAST","-0.344206974580555","0.000771817209231239","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P36008.EF1G2_YEAST","sp|P36008|EF1G2_YEAST","-0.317153170794448","0.000774873911049977","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q12335.PST2_YEAST.1","sp|Q12335|PST2_YEAST","-0.654664903046845","0.000779458963778083","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.O13516.RS9A_YEAST.2","sp|O13516|RS9A_YEAST","-0.271732322397709","0.000787100718324927","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX43.RL1A_YEAST.sp.P0CX44.RL1B_YEAST.1","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","-0.514868075643337","0.000794742472871771","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX37.RS6A_YEAST.sp.P0CX38.RS6B_YEAST.2","sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST","-0.294537082168103","0.000802384227418615","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P34760.TSA1_YEAST","sp|P34760|TSA1_YEAST","-0.374944278814356","0.000804676753782668","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15180.SYKC_YEAST.1","sp|P15180|SYKC_YEAST","-0.531538655417911","0.000810025981965459","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P33442.RS3A1_YEAST","sp|P33442|RS3A1_YEAST","-0.331140806213979","0.000819960262876356","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P40150.SSB2_YEAST.1","sp|P40150|SSB2_YEAST","-0.574058180924519","0.000825309491059147","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40212.RL13B_YEAST.sp.Q12690.RL13A_YEAST.2","sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST","-0.252731531274341","0.000832951245605991","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P05740.RL17A_YEAST","sp|P05740|RL17A_YEAST","-0.284878905695829","0.000835243771970044","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P28834.IDH1_YEAST.1","sp|P28834|IDH1_YEAST","-0.604746260606188","0.000840593000152835","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0C2H9.RL31B_YEAST.2","sp|P0C2H9|RL31B_YEAST","-0.492852371865983","0.000848234754699679","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P18239.ADT2_YEAST","sp|P18239|ADT2_YEAST","-0.305866893530688","0.000850527281063732","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P06787.CALM_YEAST.1","sp|P06787|CALM_YEAST","-0.601286897907393","0.000855876509246523","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P53741.BRE5_YEAST.2","sp|P53741|BRE5_YEAST","-0.361410195049576","0.000863518263793367","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00560.PGK_YEAST","sp|P00560|PGK_YEAST","-0.308134443887816","0.00086581079015742","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P18239.ADT2_YEAST.1","sp|P18239|ADT2_YEAST","-0.552852081844675","0.000871160018340211","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P48589.RS12_YEAST.2","sp|P48589|RS12_YEAST","-0.258882822679544","0.000878801772887055","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX23.RL20A_YEAST.sp.P0CX24.RL20B_YEAST","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","-0.322393761008975","0.000881094299251108","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P06367.RS14A_YEAST.1","sp|P06367|RS14A_YEAST","-0.498899628013218","0.000886443527433899","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P53889.FMP41_YEAST.1","sp|P53889|FMP41_YEAST","-0.67406346055685","0.000901727036527587","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX43.RL1A_YEAST.sp.P0CX44.RL1B_YEAST","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","-0.231795224341967","0.000910132966529115","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P48837.NUP57_YEAST.2","sp|P48837|NUP57_YEAST","-1.23585920098232","0.000910132966529115","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P16862.PFKA2_YEAST.1","sp|P16862|PFKA2_YEAST","-0.570989317756082","0.000917010545621275","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40506.PPCS_YEAST","sp|P40506|PPCS_YEAST","-1.13433587173819","0.000925416475622803","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P38701.RS20_YEAST.2","sp|P38701|RS20_YEAST","-0.227412124275896","0.000925416475622803","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX55.RS18A_YEAST.sp.P0CX56.RS18B_YEAST.1","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","-0.587484613710853","0.000932294054714963","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P17423.KHSE_YEAST.2","sp|P17423|KHSE_YEAST","-0.425773849388184","0.000940699984716491","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P31373.CYS3_YEAST.1","sp|P31373|CYS3_YEAST","-0.562341570096512","0.00094757756380865","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P28707.SBA1_YEAST.2","sp|P28707|SBA1_YEAST","-0.362877848515804","0.000955983493810179","0.0434782608695652","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q8IY26.PLPP6_HUMAN","sp|Q8IY26|PLPP6_HUMAN","-0.408929571351024","0.000956747669264863","0.0142857142857143","conditionC-conditionB","HUMAN","0","0"
"sp.P11076.ARF1_YEAST.1","sp|P11076|ARF1_YEAST","-0.484832557037493","0.000962861072902338","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX49.RL18A_YEAST.sp.P0CX50.RL18B_YEAST","sp|P0CX49|RL18A_YEAST;sp|P0CX50|RL18B_YEAST","-0.269628840971258","0.000972031178358551","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10592.HSP72_YEAST.1","sp|P10592|HSP72_YEAST","-0.548176780193916","0.000978144581996026","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P48200.IREB2_HUMAN","sp|P48200|IREB2_HUMAN","0.278819824218964","0.000987314687452239","0.0142857142857143","conditionC-conditionB","HUMAN","0","0"
"sp.P05319.RLA2_YEAST.1","sp|P05319|RLA2_YEAST","-0.555680386341626","0.000993428091089714","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P54115.ALDH6_YEAST","sp|P54115|ALDH6_YEAST","-0.276952578465957","0.00100259819654593","0.0142857142857143","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P25572.YCE2_YEAST.2","sp|P25572|YCE2_YEAST","-0.241571252539316","0.00100259819654593","0.0454545454545455","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX37.RS6A_YEAST.sp.P0CX38.RS6B_YEAST.1","sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST","-0.574467301640944","0.0010087116001834","0","conditionD-conditionB","YEAST","1","0.584962500721156"
