DEA,expression_type,MVI,Normalization,label
proDA,dlfq,Impseqrob,No_norm,1.0
DEqMS,dlfq,SeqKNN,Rlr,1.0
DEP,dlfq,bpca,No_norm,1.0
ROTS,dlfq,MinDet,No_norm,1.0
DEP,dlfq,Impseq,lossf,1.0
DEP,dlfq,SeqKNN,No_norm,1.0
limma,dlfq,bpca,center.median,1.0
ROTS,dlfq,Impseq,Rlr,1.0
ROTS,dlfq,missForest,lossf,1.0
DEqMS,dlfq,missForest,lossf,1.0
ROTS,dlfq,Impseq,lossf,1.0
DEqMS,dlfq,missForest,Rlr,1.0
ROTS,dlfq,MinProb,lossf,1.0
limma,LFQ,SeqKNN,center.mean,1.0
limma,top3,Impseq,lossf,1.0
limma,LFQ,SeqKNN,No_norm,1.0
limma,top3,Impseq,Rlr,1.0
proDA,dlfq,missForest,No_norm,1.0
ROTS,dlfq,SeqKNN,center.median,1.0
proDA,dlfq,bpca,lossf,1.0
proDA,LFQ,SeqKNN,Rlr,1.0
DEqMS,dlfq,bpca,lossf,1.0
DEP,dlfq,Impseqrob,No_norm,1.0
limma,dlfq,bpca,center.mean,1.0
limma,LFQ,Impseq,lossf,1.0
proDA,dlfq,nbavg,No_norm,1.0
limma,top3,Impseq,center.median,1.0
ROTS,dlfq,knn,No_norm,1.0
ROTS,dlfq,nbavg,No_norm,1.0
ROTS,dlfq,MinProb,No_norm,1.0
limma,dlfq,mice,No_norm,1.0
DEqMS,dlfq,nbavg,No_norm,1.0
DEqMS,dlfq,bpca,Rlr,1.0
limma,LFQ,missForest,lossf,1.0
limma,LFQ,bpca,lossf,1.0
ROTS,top3,SeqKNN,center.median,1.0
limma,LFQ,mice,lossf,1.0
DEP,dlfq,Impseq,Rlr,1.0
proDA,dlfq,bpca,Rlr,1.0
ROTS,LFQ,knn,Rlr,1.0
limma,top3,SeqKNN,center.median,1.0
DEP,dlfq,missForest,lossf,1.0
proDA,dlfq,MinDet,No_norm,1.0
limma,dlfq,QRILC,No_norm,1.0
ROTS,dlfq,QRILC,No_norm,1.0
DEP,dlfq,missForest,Rlr,1.0
ROTS,dlfq,bpca,lossf,1.0
DEqMS,LFQ,SeqKNN,Rlr,1.0
limma,dlfq,SeqKNN,center.median,1.0
ROTS,dlfq,MinDet,lossf,1.0
proDA,dlfq,missForest,Rlr,1.0
proDA,dlfq,knn,No_norm,1.0
limma,LFQ,mice,Rlr,1.0
proDA,dlfq,MinProb,No_norm,1.0
DEP,dlfq,nbavg,No_norm,1.0
limma,dlfq,nbavg,lossf,1.0
proDA,dlfq,Impseqrob,lossf,1.0
limma,dlfq,missForest,center.median,1.0
DEP,dlfq,Impseq,center.median,1.0
ROTS,dlfq,SeqKNN,center.mean,1.0
limma,dlfq,nbavg,Rlr,1.0
DEqMS,dlfq,Impseqrob,lossf,1.0
ROTS,dlfq,bpca,Rlr,1.0
ROTS,dlfq,Impseqrob,Rlr,1.0
DEqMS,LFQ,Impseq,lossf,1.0
proDA,dlfq,Impseqrob,Rlr,1.0
ROTS,dlfq,Impseqrob,lossf,1.0
limma,dlfq,SeqKNN,center.mean,1.0
DEqMS,dlfq,Impseq,center.median,1.0
ROTS,LFQ,missForest,lossf,1.0
proDA,dlfq,zero,No_norm,1.0
DEP,dlfq,SeqKNN,lossf,1.0
DEP,dlfq,SeqKNN,center.median,1.0
proDA,dlfq,SeqKNN,No_norm,1.0
proDA,LFQ,Impseq,lossf,1.0
DEP,dlfq,SeqKNN,Rlr,1.0
proDA,LFQ,SeqKNN,center.median,1.0
DEqMS,dlfq,Impseqrob,Rlr,1.0
limma,top3,Impseq,center.mean,1.0
ROTS,top3,SeqKNN,Rlr,1.0
limma,LFQ,Impseq,Rlr,1.0
ROTS,dlfq,missForest,center.mean,1.0
proDA,dlfq,missForest,lossf,1.0
proDA,LFQ,bpca,lossf,1.0
DEP,LFQ,SeqKNN,lossf,1.0
limma,top3,missForest,center.median,1.0
limma,top3,SeqKNN,Rlr,1.0
limma,LFQ,missForest,Rlr,1.0
ROTS,dlfq,knn,lossf,1.0
limma,dlfq,Impseq,quantiles,1.0
limma,dlfq,MinProb,Rlr,1.0
limma,LFQ,bpca,Rlr,1.0
DEP,dlfq,zero,No_norm,1.0
ROTS,dlfq,MinDet,Rlr,1.0
limma,top3,bpca,center.median,1.0
limma,LFQ,Impseq,quantiles,1.0
limma,dlfq,MinProb,lossf,1.0
ROTS,top3,knn,Rlr,1.0
ROTS,top3,SeqKNN,lossf,1.0
proDA,dlfq,Impseq,center.mean,1.0
ROTS,dlfq,missForest,center.median,1.0
proDA,LFQ,SeqKNN,center.mean,1.0
limma,dlfq,missForest,center.mean,1.0
ROTS,top3,knn,lossf,1.0
limma,top3,SeqKNN,lossf,1.0
DEP,dlfq,bpca,lossf,1.0
DEqMS,dlfq,MinProb,No_norm,1.0
DEqMS,LFQ,missForest,lossf,1.0
ROTS,LFQ,SeqKNN,No_norm,1.0
DEP,dlfq,bpca,Rlr,1.0
ROTS,LFQ,mice,lossf,1.0
limma,top3,SeqKNN,center.mean,1.0
proDA,top3,Impseq,Rlr,1.0
proDA,top3,Impseq,lossf,1.0
ROTS,dlfq,knn,Rlr,1.0
ROTS,dlfq,Impseq,center.median,1.0
proDA,dlfq,SeqKNN,Rlr,1.0
ROTS,dlfq,Impseq,center.mean,1.0
ROTS,LFQ,SeqKNN,center.median,1.0
limma,dlfq,knn,lossf,1.0
ROTS,dlfq,MinProb,Rlr,1.0
ROTS,top3,knn,center.median,1.0
limma,top3,Impseq,No_norm,1.0
proDA,LFQ,missForest,lossf,1.0
limma,LFQ,bpca,center.median,1.0
limma,dlfq,knn,Rlr,1.0
proDA,dlfq,SeqKNN,lossf,1.0
limma,LFQ,Impseq,center.median,1.0
limma,top3,missForest,Rlr,1.0
ROTS,dlfq,nbavg,Rlr,1.0
limma,LFQ,mice,center.mean,1.0
ROTS,top3,SeqKNN,center.mean,1.0
ROTS,LFQ,Impseq,lossf,1.0
limma,dlfq,MinDet,Rlr,1.0
limma,top3,bpca,Rlr,1.0
proDA,LFQ,Impseq,Rlr,1.0
limma,dlfq,MinDet,lossf,1.0
DEqMS,dlfq,MinDet,No_norm,1.0
ROTS,dlfq,mice,No_norm,1.0
limma,dlfq,Impseqrob,center.median,1.0
proDA,dlfq,bpca,center.median,1.0
proDA,LFQ,bpca,Rlr,1.0
limma,dlfq,nbavg,center.median,1.0
DEP,dlfq,Impseqrob,Rlr,1.0
ROTS,dlfq,QRILC,Rlr,1.0
ROTS,LFQ,SeqKNN,center.mean,1.0
ROTS,LFQ,MinProb,lossf,1.0
limma,LFQ,missForest,center.median,1.0
DEqMS,LFQ,mice,lossf,1.0
limma,dlfq,MinProb,center.median,1.0
DEP,dlfq,Impseqrob,lossf,1.0
proDA,dlfq,bpca,center.mean,1.0
DEP,dlfq,nbavg,lossf,1.0
limma,dlfq,mice,Rlr,1.0
DEqMS,dlfq,No_MVI,No_norm,1.0
proDA,LFQ,mice,Rlr,1.0
DEP,LFQ,SeqKNN,Rlr,1.0
DEqMS,dlfq,mice,No_norm,1.0
limma,top3,bpca,center.mean,1.0
DEqMS,LFQ,SeqKNN,center.median,1.0
limma,top3,bpca,lossf,1.0
ROTS,LFQ,Impseq,Rlr,1.0
limma,LFQ,Impseq,center.mean,1.0
ROTS,top3,missForest,Rlr,1.0
ROTS,dlfq,MinProb,center.median,1.0
proDA,LFQ,mice,lossf,1.0
limma,dlfq,bpca,quantiles,1.0
ROTS,top3,missForest,center.median,1.0
limma,LFQ,knn,lossf,1.0
proDA,dlfq,mice,No_norm,1.0
ROTS,dlfq,nbavg,lossf,1.0
limma,top3,missForest,lossf,1.0
limma,LFQ,SeqKNN,quantiles,1.0
proDA,LFQ,missForest,Rlr,1.0
limma,dlfq,Impseqrob,center.mean,1.0
ROTS,LFQ,mice,center.median,1.0
ROTS,LFQ,missForest,Rlr,1.0
DEqMS,LFQ,bpca,lossf,1.0
DEqMS,dlfq,Impseq,center.mean,1.0
ROTS,dlfq,Impseqrob,center.mean,1.0
proDA,LFQ,bpca,center.median,1.0
limma,LFQ,missForest,No_norm,1.0
ROTS,dlfq,QRILC,lossf,1.0
limma,LFQ,missForest,center.mean,1.0
ROTS,LFQ,MinDet,lossf,1.0
proDA,dlfq,knn,lossf,1.0
DEqMS,dlfq,SeqKNN,center.median,1.0
limma,top3,missForest,center.mean,1.0
ROTS,dlfq,SeqKNN,quantiles,1.0
ROTS,dlfq,bpca,center.median,1.0
limma,LFQ,bpca,No_norm,1.0
DEP,LFQ,SeqKNN,center.median,1.0
ROTS,top0,missForest,Rlr,1.0
DEqMS,LFQ,Impseq,Rlr,1.0
ROTS,top3,MinProb,center.median,1.0
proDA,dlfq,knn,Rlr,1.0
DEqMS,dlfq,bpca,center.median,1.0
limma,LFQ,bpca,center.mean,1.0
ROTS,dlfq,MinProb,center.mean,1.0
proDA,dlfq,Impseq,center.median,1.0
ROTS,top3,MinProb,lossf,1.0
ROTS,top3,MinProb,Rlr,1.0
limma,LFQ,Impseq,No_norm,1.0
ROTS,top0,SeqKNN,Rlr,1.0
limma,dlfq,MinDet,center.median,1.0
ROTS,top3,QRILC,lossf,1.0
ROTS,LFQ,bpca,lossf,1.0
proDA,dlfq,zero,lossf,1.0
proDA,dlfq,zero,Rlr,1.0
DEP,dlfq,MinProb,No_norm,1.0
proDA,LFQ,SeqKNN,No_norm,1.0
proDA,LFQ,Impseq,center.median,1.0
DEP,dlfq,No_MVI,No_norm,1.0
ROTS,LFQ,Impseqrob,lossf,1.0
limma,dlfq,nbavg,center.mean,1.0
DEP,dlfq,nbavg,Rlr,1.0
limma,dlfq,MinProb,center.mean,1.0
DEqMS,dlfq,nbavg,lossf,1.0
proDA,dlfq,MinProb,lossf,1.0
ROTS,dlfq,Impseqrob,center.median,1.0
proDA,dlfq,QRILC,No_norm,1.0
ROTS,LFQ,knn,center.median,1.0
ROTS,top3,knn,center.mean,1.0
proDA,dlfq,MinProb,Rlr,1.0
ROTS,top3,QRILC,Rlr,1.0
limma,top3,mice,center.median,1.0
limma,dlfq,mice,lossf,1.0
proDA,dlfq,missForest,center.mean,1.0
ROTS,top0,SeqKNN,lossf,1.0
ROTS,LFQ,knn,No_norm,1.0
DEqMS,dlfq,missForest,center.median,1.0
DEqMS,LFQ,SeqKNN,No_norm,1.0
DEqMS,LFQ,mice,Rlr,1.0
ROTS,top3,MinDet,Rlr,1.0
ROTS,LFQ,mice,Rlr,1.0
limma,top3,mice,Rlr,1.0
ROTS,top3,MinDet,center.median,1.0
ROTS,dlfq,bpca,center.mean,1.0
ROTS,top3,knn,No_norm,1.0
proDA,dlfq,MinDet,lossf,1.0
ROTS,LFQ,QRILC,lossf,1.0
DEqMS,LFQ,missForest,Rlr,1.0
ROTS,top0,missForest,center.median,1.0
proDA,dlfq,MinDet,Rlr,1.0
limma,top3,SeqKNN,No_norm,1.0
DEqMS,top3,Impseq,center.median,1.0
DEqMS,dlfq,nbavg,Rlr,1.0
DEP,dlfq,Impseq,center.mean,1.0
limma,dlfq,QRILC,lossf,1.0
ROTS,dlfq,nbavg,center.mean,1.0
DEqMS,top3,Impseq,Rlr,1.0
DEP,dlfq,missForest,center.median,1.0
ROTS,dlfq,missForest,quantiles,1.0
limma,top3,knn,center.median,1.0
limma,dlfq,QRILC,Rlr,1.0
ROTS,LFQ,Impseq,center.median,1.0
ROTS,top3,MinDet,lossf,1.0
DEP,top3,Impseq,Rlr,1.0
proDA,LFQ,knn,lossf,1.0
limma,top3,Impseq,quantiles,1.0
DEP,dlfq,mice,No_norm,1.0
DEP,dlfq,zero,lossf,1.0
ROTS,top0,missForest,center.mean,1.0
ROTS,dlfq,No_MVI,No_norm,1.0
proDA,LFQ,mice,center.mean,1.0
ROTS,top3,QRILC,center.median,1.0
ROTS,top3,MinProb,center.mean,1.0
DEqMS,dlfq,knn,No_norm,1.0
ROTS,LFQ,bpca,Rlr,1.0
DEP,LFQ,missForest,lossf,1.0
limma,dlfq,missForest,quantiles,1.0
proDA,LFQ,Impseq,center.mean,1.0
limma,dlfq,SeqKNN,quantiles,1.0
limma,top3,Impseqrob,Rlr,1.0
limma,top3,bpca,No_norm,1.0
proDA,dlfq,SeqKNN,center.mean,1.0
DEP,dlfq,SeqKNN,center.mean,1.0
limma,dlfq,knn,center.median,1.0
limma,LFQ,mice,center.median,1.0
limma,top3,knn,Rlr,1.0
ROTS,LFQ,SeqKNN,quantiles,1.0
ROTS,top0,SeqKNN,center.mean,1.0
ROTS,top3,Impseq,lossf,1.0
proDA,LFQ,missForest,center.median,1.0
ROTS,top3,missForest,lossf,1.0
ROTS,top0,bpca,center.median,1.0
limma,top0,Impseq,center.median,1.0
DEqMS,top3,Impseq,lossf,1.0
DEP,dlfq,MinDet,No_norm,1.0
limma,dlfq,MinDet,center.mean,1.0
limma,top3,mice,center.mean,1.0
limma,top3,MinProb,center.median,1.0
ROTS,LFQ,knn,center.mean,1.0
ROTS,top3,SeqKNN,quantiles,1.0
proDA,top3,bpca,Rlr,1.0
ROTS,dlfq,knn,center.mean,1.0
ROTS,dlfq,nbavg,center.median,1.0
proDA,LFQ,bpca,center.mean,1.0
limma,dlfq,No_MVI,No_norm,1.0
DEP,top3,Impseq,center.median,1.0
ROTS,top0,Impseq,Rlr,1.0
ROTS,LFQ,Impseqrob,Rlr,1.0
ROTS,top3,Impseq,center.median,1.0
ROTS,top0,missForest,lossf,1.0
DEP,dlfq,bpca,center.median,1.0
proDA,top3,bpca,lossf,1.0
DEP,top3,Impseq,lossf,1.0
ROTS,top3,Impseq,Rlr,1.0
DEP,dlfq,nbavg,center.median,1.0
limma,LFQ,knn,Rlr,1.0
ROTS,LFQ,missForest,No_norm,1.0
DEP,LFQ,Impseq,lossf,1.0
proDA,dlfq,Impseqrob,center.mean,1.0
DEP,dlfq,knn,No_norm,1.0
proDA,top3,Impseq,center.median,1.0
ROTS,top3,bpca,center.median,1.0
ROTS,top3,missForest,center.mean,1.0
limma,top3,mice,lossf,1.0
limma,LFQ,mice,No_norm,1.0
ROTS,dlfq,QRILC,center.median,1.0
DEqMS,top3,SeqKNN,Rlr,1.0
DEqMS,dlfq,QRILC,No_norm,1.0
limma,dlfq,mice,center.median,1.0
ROTS,top0,bpca,lossf,1.0
limma,top3,MinDet,center.median,1.0
ROTS,dlfq,knn,center.median,1.0
ROTS,top3,bpca,Rlr,1.0
limma,top0,bpca,center.median,1.0
ROTS,top0,bpca,Rlr,1.0
DEP,dlfq,QRILC,No_norm,1.0
limma,LFQ,nbavg,lossf,1.0
limma,top0,SeqKNN,center.median,1.0
limma,top3,knn,lossf,1.0
limma,top0,missForest,center.median,1.0
DEqMS,LFQ,SeqKNN,center.mean,1.0
limma,LFQ,Impseqrob,lossf,1.0
ROTS,top3,Impseqrob,Rlr,1.0
proDA,LFQ,missForest,center.mean,1.0
proDA,dlfq,missForest,center.median,1.0
DEP,top3,SeqKNN,Rlr,1.0
limma,top3,MinProb,Rlr,1.0
ROTS,top0,Impseqrob,Rlr,1.0
ROTS,top0,bpca,center.mean,2.0
ROTS,top0,SeqKNN,center.median,2.0
limma,top3,Impseqrob,center.median,2.0
DEqMS,dlfq,SeqKNN,center.mean,2.0
ROTS,top3,MinDet,center.mean,2.0
ROTS,LFQ,Impseq,No_norm,2.0
DEqMS,LFQ,Impseq,center.median,2.0
limma,top3,nbavg,center.median,2.0
ROTS,top3,QRILC,center.mean,2.0
limma,top3,SeqKNN,quantiles,2.0
ROTS,LFQ,Impseq,center.mean,2.0
ROTS,top0,Impseqrob,center.median,2.0
DEqMS,top3,missForest,Rlr,2.0
DEqMS,dlfq,bpca,center.mean,2.0
proDA,dlfq,No_MVI,No_norm,2.0
limma,LFQ,knn,center.median,2.0
DEqMS,top3,SeqKNN,center.median,2.0
proDA,dlfq,mice,Rlr,2.0
DEqMS,LFQ,bpca,Rlr,2.0
limma,top0,missForest,center.mean,2.0
limma,top0,Impseq,center.mean,2.0
ROTS,top3,SeqKNN,No_norm,2.0
DEP,LFQ,SeqKNN,center.mean,2.0
ROTS,dlfq,Impseq,quantiles,2.0
ROTS,dlfq,mice,lossf,2.0
ROTS,LFQ,MinDet,Rlr,2.0
limma,top0,Impseq,Rlr,2.0
ROTS,dlfq,mice,Rlr,2.0
ROTS,LFQ,MinProb,Rlr,2.0
ROTS,top0,Impseq,lossf,2.0
limma,top3,MinProb,lossf,2.0
proDA,dlfq,MinProb,center.median,2.0
ROTS,dlfq,QRILC,center.mean,2.0
ROTS,LFQ,mice,center.mean,2.0
limma,top3,Impseqrob,lossf,2.0
proDA,top3,Impseq,center.mean,2.0
proDA,dlfq,Impseq,quantiles,2.0
ROTS,top0,Impseqrob,lossf,2.0
limma,top3,MinDet,Rlr,2.0
ROTS,top0,knn,center.median,2.0
DEqMS,top3,missForest,center.median,2.0
DEP,LFQ,SeqKNN,No_norm,2.0
DEqMS,top3,SeqKNN,lossf,2.0
limma,top3,missForest,No_norm,2.0
ROTS,LFQ,QRILC,Rlr,2.0
ROTS,top0,mice,lossf,2.0
limma,top0,missForest,Rlr,2.0
limma,dlfq,knn,center.mean,2.0
ROTS,top0,Impseq,center.mean,2.0
ROTS,top3,Impseqrob,lossf,2.0
ROTS,top3,mice,Rlr,2.0
DEP,dlfq,No_MVI,lossf,2.0
DEP,top3,SeqKNN,center.median,2.0
proDA,LFQ,nbavg,lossf,2.0
limma,top0,missForest,lossf,2.0
ROTS,LFQ,bpca,center.median,2.0
proDA,LFQ,bpca,No_norm,2.0
limma,top0,SeqKNN,center.mean,2.0
ROTS,dlfq,MinDet,center.median,2.0
DEP,LFQ,missForest,Rlr,2.0
proDA,top3,bpca,center.median,2.0
limma,top0,bpca,Rlr,2.0
proDA,dlfq,SeqKNN,center.median,2.0
limma,top0,SeqKNN,Rlr,2.0
DEqMS,top3,bpca,center.median,2.0
ROTS,top0,Impseq,center.median,2.0
limma,top0,Impseq,lossf,2.0
ROTS,LFQ,mice,No_norm,2.0
DEqMS,dlfq,mice,Rlr,2.0
limma,top3,MinProb,center.mean,2.0
proDA,LFQ,knn,Rlr,2.0
limma,top3,nbavg,Rlr,2.0
limma,dlfq,mice,center.mean,2.0
limma,dlfq,QRILC,center.median,2.0
DEqMS,dlfq,Impseqrob,center.median,2.0
proDA,top3,SeqKNN,Rlr,2.0
limma,top3,MinDet,lossf,2.0
limma,top0,bpca,center.mean,2.0
ROTS,top3,Impseq,center.mean,2.0
DEqMS,dlfq,missForest,center.mean,2.0
ROTS,top0,knn,center.mean,2.0
DEP,top3,Impseq,No_norm,2.0
proDA,LFQ,mice,center.median,2.0
ROTS,top0,missForest,quantiles,2.0
proDA,dlfq,Impseqrob,center.median,2.0
ROTS,dlfq,No_MVI,Rlr,2.0
proDA,dlfq,knn,center.median,2.0
ROTS,dlfq,No_MVI,lossf,2.0
ROTS,dlfq,bpca,quantiles,2.0
DEP,dlfq,mice,Rlr,2.0
ROTS,top3,Impseqrob,center.median,2.0
ROTS,LFQ,missForest,center.mean,2.0
DEP,top3,SeqKNN,lossf,2.0
limma,top3,missForest,quantiles,2.0
DEqMS,LFQ,Impseqrob,lossf,2.0
DEP,LFQ,mice,lossf,2.0
DEP,top3,missForest,Rlr,2.0
ROTS,top0,knn,lossf,2.0
ROTS,top3,bpca,lossf,2.0
ROTS,LFQ,missForest,center.median,2.0
DEP,top3,bpca,center.median,2.0
proDA,top3,missForest,Rlr,2.0
proDA,top3,missForest,center.median,2.0
limma,top3,bpca,quantiles,2.0
DEqMS,dlfq,No_MVI,lossf,2.0
limma,top0,bpca,lossf,2.0
proDA,dlfq,zero,center.median,2.0
proDA,top3,SeqKNN,lossf,2.0
proDA,dlfq,MinProb,center.mean,2.0
limma,top3,nbavg,lossf,2.0
DEP,dlfq,No_MVI,Rlr,2.0
proDA,LFQ,missForest,No_norm,2.0
DEqMS,top3,Impseq,center.mean,2.0
proDA,dlfq,bpca,quantiles,2.0
DEqMS,top3,bpca,Rlr,2.0
limma,top0,missForest,No_norm,2.0
limma,top0,SeqKNN,lossf,2.0
ROTS,top3,mice,center.median,2.0
ROTS,top3,nbavg,lossf,2.0
limma,top3,knn,center.mean,2.0
proDA,LFQ,Impseq,No_norm,2.0
limma,top0,mice,center.median,2.0
DEP,top3,Impseq,center.mean,2.0
proDA,dlfq,MinDet,center.median,2.0
ROTS,LFQ,bpca,center.mean,2.0
proDA,dlfq,mice,lossf,2.0
ROTS,top3,mice,lossf,2.0
DEqMS,dlfq,No_MVI,Rlr,2.0
DEP,dlfq,bpca,center.mean,2.0
limma,LFQ,mice,quantiles,2.0
DEP,dlfq,Impseqrob,center.median,2.0
ROTS,LFQ,bpca,No_norm,2.0
limma,dlfq,nbavg,quantiles,2.0
limma,LFQ,nbavg,Rlr,2.0
limma,top0,MinProb,center.median,2.0
ROTS,top3,MinProb,quantiles,2.0
ROTS,top0,mice,Rlr,2.0
ROTS,top0,knn,Rlr,2.0
proDA,dlfq,knn,center.mean,2.0
proDA,LFQ,knn,center.median,2.0
DEqMS,top3,missForest,lossf,2.0
limma,top3,Impseqrob,center.mean,2.0
limma,LFQ,knn,center.mean,2.0
DEP,top3,missForest,center.median,2.0
proDA,top3,missForest,lossf,2.0
limma,top0,Impseq,No_norm,2.0
DEP,top3,bpca,Rlr,2.0
limma,LFQ,MinProb,lossf,2.0
proDA,LFQ,Impseqrob,lossf,2.0
limma,top3,MinDet,center.mean,2.0
ROTS,top0,MinProb,center.median,2.0
DEqMS,dlfq,MinProb,lossf,2.0
ROTS,top0,MinDet,Rlr,2.0
proDA,top0,Impseq,center.median,2.0
limma,top3,QRILC,center.median,2.0
DEqMS,LFQ,missForest,center.median,2.0
DEqMS,dlfq,MinProb,Rlr,2.0
ROTS,top3,nbavg,Rlr,2.0
DEP,LFQ,Impseq,Rlr,2.0
DEP,LFQ,mice,Rlr,2.0
ROTS,top3,bpca,center.mean,2.0
ROTS,top0,MinProb,Rlr,2.0
DEqMS,LFQ,bpca,center.median,2.0
ROTS,top3,nbavg,center.median,2.0
proDA,top0,bpca,center.median,2.0
limma,LFQ,knn,No_norm,2.0
proDA,top3,knn,center.median,2.0
DEqMS,LFQ,mice,center.median,2.0
proDA,top3,bpca,center.mean,2.0
ROTS,top0,SeqKNN,quantiles,2.0
limma,top0,bpca,No_norm,2.0
ROTS,LFQ,MinProb,No_norm,2.0
DEqMS,dlfq,mice,lossf,2.0
ROTS,top0,MinDet,center.median,2.0
limma,top3,nbavg,center.mean,2.0
limma,LFQ,MinDet,lossf,2.0
ROTS,top3,missForest,quantiles,2.0
limma,LFQ,Impseqrob,Rlr,2.0
limma,top0,SeqKNN,No_norm,2.0
ROTS,top3,mice,center.mean,2.0
proDA,dlfq,MinDet,center.mean,2.0
DEqMS,dlfq,nbavg,center.median,2.0
DEqMS,top3,bpca,lossf,2.0
ROTS,dlfq,MinDet,center.mean,2.0
limma,LFQ,missForest,quantiles,2.0
proDA,dlfq,QRILC,lossf,2.0
limma,dlfq,Impseq,TIC,2.0
ROTS,LFQ,mice,quantiles,2.0
DEP,top3,missForest,lossf,2.0
limma,top3,QRILC,Rlr,2.0
ROTS,top3,missForest,No_norm,2.0
ROTS,LFQ,MinProb,center.median,2.0
limma,top3,Impseqrob,No_norm,2.0
ROTS,top0,MinProb,lossf,2.0
limma,top0,MinDet,center.median,2.0
ROTS,top0,QRILC,lossf,2.0
limma,top0,Impseqrob,center.median,2.0
DEP,dlfq,MinProb,lossf,2.0
proDA,top3,SeqKNN,center.median,2.0
ROTS,top0,MinProb,center.mean,2.0
DEqMS,top3,mice,Rlr,2.0
DEP,dlfq,mice,lossf,2.0
proDA,top3,knn,Rlr,2.0
ROTS,LFQ,Impseqrob,center.median,2.0
proDA,dlfq,QRILC,Rlr,2.0
limma,top0,MinProb,Rlr,2.0
limma,top0,MinProb,center.mean,2.0
limma,top0,mice,center.mean,2.0
DEqMS,LFQ,Impseq,No_norm,2.0
DEP,top3,SeqKNN,center.mean,2.0
ROTS,top0,QRILC,Rlr,2.0
proDA,LFQ,nbavg,Rlr,2.0
proDA,dlfq,zero,center.mean,2.0
ROTS,LFQ,Impseq,quantiles,2.0
DEP,LFQ,Impseq,quantiles,2.0
proDA,top0,missForest,center.median,2.0
ROTS,top3,Impseqrob,center.mean,2.0
limma,dlfq,QRILC,center.mean,2.0
ROTS,top0,MinDet,lossf,2.0
DEqMS,dlfq,MinDet,Rlr,2.0
DEqMS,LFQ,missForest,No_norm,2.0
DEqMS,dlfq,MinDet,lossf,2.0
ROTS,top3,knn,quantiles,2.0
limma,top0,mice,lossf,2.0
proDA,LFQ,knn,center.mean,2.0
limma,top3,QRILC,lossf,2.0
limma,LFQ,Impseqrob,center.median,2.0
DEP,top3,bpca,lossf,2.0
DEqMS,LFQ,mice,center.mean,2.0
ROTS,LFQ,nbavg,lossf,2.0
limma,LFQ,nbavg,center.median,2.0
limma,top0,mice,Rlr,2.0
DEP,dlfq,missForest,center.mean,2.0
limma,dlfq,No_MVI,Rlr,2.0
DEqMS,top3,mice,center.median,2.0
limma,top3,mice,No_norm,2.0
limma,LFQ,bpca,quantiles,2.0
ROTS,LFQ,QRILC,center.median,2.0
limma,dlfq,No_MVI,lossf,2.0
DEqMS,LFQ,nbavg,lossf,2.0
limma,top0,MinProb,lossf,2.0
limma,top0,MinDet,Rlr,2.0
