"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"25","sp|P02406|RL28_YEAST","conditionC-conditionB",35.2412925582948,1.08331241754911e-07,-0.322241958408695,2.83524525920953e-05,"YEAST","1","0.321928094887362"
"26","sp|P38011|GBLP_YEAST","conditionC-conditionB",34.9500530460067,1.24821220914839e-07,-0.322079846704186,3.11188960326777e-05,"YEAST","1","0.321928094887362"
"27","sp|Q03048|COFI_YEAST","conditionC-conditionB",34.7771690967663,1.35771906495386e-07,-0.325860919207432,3.11188960326777e-05,"YEAST","1","0.321928094887362"
"28","sp|P00560|PGK_YEAST","conditionC-conditionB",34.7645818292611,1.36605684319946e-07,-0.334570155030132,3.11188960326777e-05,"YEAST","1","0.321928094887362"
"29","sp|P00817|IPYR_YEAST","conditionC-conditionB",34.7448097005987,1.37925719845278e-07,-0.323253246040535,3.11188960326777e-05,"YEAST","1","0.321928094887362"
"30","sp|P38701|RS20_YEAST","conditionC-conditionB",34.5586254918376,1.50997599757119e-07,-0.4186989575903,3.29325765070276e-05,"YEAST","1","0.321928094887362"
"31","sp|P05740|RL17A_YEAST","conditionC-conditionB",34.1923391063998,1.80434025720544e-07,-0.35374110110849,3.72731728305415e-05,"YEAST","1","0.321928094887362"
"32","sp|P19262|ODO2_YEAST","conditionC-conditionB",34.0921466095702,1.894401961966e-07,-0.74627593347022,3.72731728305415e-05,"YEAST","1","0.321928094887362"
"33","sp|P0C2I5|YL12B_YEAST;sp|Q12414|YP11B_YEAST","conditionC-conditionB",34.0745028687605,1.91072019428695e-07,-0.367886106963368,3.72731728305415e-05,"YEAST","1","0.321928094887362"
"34","sp|P16521|EF3A_YEAST","conditionC-conditionB",34.0106420212608,1.97096541421082e-07,-0.4153220342429,3.72731728305415e-05,"YEAST","1","0.321928094887362"
"35","sp|O43137|YB085_YEAST","conditionC-conditionB",33.986917107469,1.99382706567164e-07,-0.494210647794953,3.72731728305415e-05,"YEAST","1","0.321928094887362"
"36","sp|P15731|UBC4_YEAST","conditionC-conditionB",33.7547011611311,2.23205432026141e-07,-0.505810893767153,4.05675872707512e-05,"YEAST","1","0.321928094887362"
"37","sp|P04840|VDAC1_YEAST","conditionC-conditionB",33.6847803728981,2.30920337407348e-07,-0.363414924107603,4.08354531798993e-05,"YEAST","1","0.321928094887362"
"38","sp|P00360|G3P1_YEAST","conditionC-conditionB",33.4913239074388,2.53681368800329e-07,-0.283290463273463,4.36799262121198e-05,"YEAST","1","0.321928094887362"
"39","sp|P05030|PMA1_YEAST","conditionC-conditionB",33.4135949210876,2.63445272929985e-07,-0.339903360743934,4.41980107892537e-05,"YEAST","1","0.321928094887362"
"40","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","conditionC-conditionB",33.1372057489941,3.01303111349682e-07,-0.346988954019633,4.92856564390243e-05,"YEAST","1","0.321928094887362"
"41","sp|P14832|CYPH_YEAST","conditionC-conditionB",33.0178383464048,3.19288927297379e-07,-0.309903502438322,5.00593490645859e-05,"YEAST","1","0.321928094887362"
"42","sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST","conditionC-conditionB",33.0046887879112,3.21334656994132e-07,-0.36798747169783,5.00593490645859e-05,"YEAST","1","0.321928094887362"
"43","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","conditionC-conditionB",32.7817534417341,3.58078191209366e-07,-0.384695949782365,5.39710827578396e-05,"YEAST","1","0.321928094887362"
"44","sp|P0CX39|RS8A_YEAST;sp|P0CX40|RS8B_YEAST","conditionC-conditionB",32.7539713741188,3.62941715015275e-07,-0.322463100178966,5.39710827578396e-05,"YEAST","1","0.321928094887362"
"45","sp|P54115|ALDH6_YEAST","conditionC-conditionB",32.4675497078905,4.17092864690716e-07,-0.406996476622165,6.06453025260301e-05,"YEAST","1","0.321928094887362"
"46","sp|P0CX84|RL35A_YEAST;sp|P0CX85|RL35B_YEAST","conditionC-conditionB",32.3497089290954,4.41648458804345e-07,-0.353978396910167,6.17649941824454e-05,"YEAST","1","0.321928094887362"
"47","sp|P32861|UGPA1_YEAST","conditionC-conditionB",32.2900350756563,4.546284090301e-07,-0.348921285508496,6.17649941824454e-05,"YEAST","1","0.321928094887362"
"48","sp|P00330|ADH1_YEAST","conditionC-conditionB",32.2745013534819,4.58069238651326e-07,-0.305974693270599,6.17649941824454e-05,"YEAST","1","0.321928094887362"
"49","sp|P00359|G3P3_YEAST","conditionC-conditionB",32.2544328526184,4.62553066626903e-07,-0.336108885564059,6.17649941824454e-05,"YEAST","1","0.321928094887362"
"50","sp|Q66LE6|2ABD_HUMAN","conditionC-conditionB",32.2010895068982,4.74685503126793e-07,-0.553863208206139,6.20247206408154e-05,"HUMAN","0","0"
"51","sp|P0CX49|RL18A_YEAST;sp|P0CX50|RL18B_YEAST","conditionC-conditionB",32.1633632806083,4.83457244793151e-07,-0.310039340383833,6.20247206408154e-05,"YEAST","1","0.321928094887362"
"52","sp|P31539|HS104_YEAST","conditionC-conditionB",31.8802700922099,5.54652791251442e-07,-0.330013266761217,6.97902540991959e-05,"YEAST","1","0.321928094887362"
"53","sp|P25349|YCP4_YEAST","conditionC-conditionB",31.8369448050615,5.66436015647653e-07,-0.354667442299617,6.99281292525018e-05,"YEAST","1","0.321928094887362"
"54","sp|O15116|LSM1_HUMAN","conditionC-conditionB",31.7956068904092,5.77911579258128e-07,-0.553602824485051,7.00236196867765e-05,"HUMAN","0","0"
"55","sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","conditionC-conditionB",31.7331429666914,5.9569353927369e-07,-0.3315730987258,7.08658695903227e-05,"YEAST","1","0.321928094887362"
"56","sp|P38075|PDX3_YEAST","conditionC-conditionB",31.6143632593412,6.31027613051671e-07,-0.44426186544217,7.37288155749479e-05,"YEAST","1","0.321928094887362"
"57","sp|Q9NW15|ANO10_HUMAN","conditionC-conditionB",31.560674942121,6.47677726450802e-07,-1.13933413239689,7.37582298844016e-05,"HUMAN","0","0"
"58","sp|P05744|RL33A_YEAST","conditionC-conditionB",31.5409319306421,6.53910199543972e-07,-0.370567782987962,7.37582298844016e-05,"YEAST","1","0.321928094887362"
"59","sp|P46672|ARC1_YEAST","conditionC-conditionB",31.5059585248428,6.65097900531819e-07,-0.325281597073234,7.37582298844016e-05,"YEAST","1","0.321928094887362"
"60","sp|P27616|PUR7_YEAST","conditionC-conditionB",31.4635688349076,6.78914417129306e-07,-0.404996252018833,7.40356171879508e-05,"YEAST","1","0.321928094887362"
"61","sp|P0CS90|HSP77_YEAST","conditionC-conditionB",31.182472337504,7.78071567175687e-07,-0.331279456058027,8.34577420332872e-05,"YEAST","1","0.321928094887362"
"62","sp|P20081|FKBP_YEAST","conditionC-conditionB",31.1432615193434,7.93006752042302e-07,-0.284349378017234,8.3687793203432e-05,"YEAST","1","0.321928094887362"
"63","sp|P16467|PDC5_YEAST","conditionC-conditionB",30.9368493443904,8.76475583666547e-07,-0.373714219833934,8.99776620645041e-05,"YEAST","1","0.321928094887362"
"64","sp|P17255|VATA_YEAST","conditionC-conditionB",30.9282755358064,8.80126244773294e-07,-0.368230342654423,8.99776620645041e-05,"YEAST","1","0.321928094887362"
"65","sp|P31373|CYS3_YEAST","conditionC-conditionB",30.8963280366123,8.93863370654557e-07,-0.331908468349372,8.99776620645041e-05,"YEAST","1","0.321928094887362"
"66","sp|P32324|EF2_YEAST","conditionC-conditionB",30.859929197604,9.09775498048049e-07,-0.299227500931867,9.01918346019452e-05,"YEAST","1","0.321928094887362"
"67","sp|P40150|SSB2_YEAST","conditionC-conditionB",30.7634288021921,9.53343245346794e-07,-0.334233522766194,9.31003709597623e-05,"YEAST","1","0.321928094887362"
"68","sp|Q99258|RIB3_YEAST","conditionC-conditionB",30.7269010899648,9.70372625808125e-07,-0.42481254981004,9.33698248626847e-05,"YEAST","1","0.321928094887362"
"69","sp|P02309|H4_YEAST","conditionC-conditionB",30.6377326891025,1.01322927847924e-06,-0.324135836365546,9.60805676679666e-05,"YEAST","1","0.321928094887362"
"70","sp|Q12230|LSP1_YEAST","conditionC-conditionB",30.5301342521753,1.0674661737875e-06,-0.496150595179959,9.97775882155946e-05,"YEAST","1","0.321928094887362"
"71","sp|P09624|DLDH_YEAST","conditionC-conditionB",30.3349733154218,1.17333981586309e-06,-0.43557027738412,0.00010616482795426,"YEAST","1","0.321928094887362"
"72","sp|P26637|SYLC_YEAST","conditionC-conditionB",30.3238379866737,1.17968725910078e-06,-0.345318093109075,0.00010616482795426,"YEAST","1","0.321928094887362"
"73","sp|P05737|RL7A_YEAST","conditionC-conditionB",30.3084247640952,1.18852980091066e-06,-0.347718764732857,0.00010616482795426,"YEAST","1","0.321928094887362"
"74","sp|P33442|RS3A1_YEAST","conditionC-conditionB",30.2712651594654,1.21012112319629e-06,-0.400568792021366,0.00010616482795426,"YEAST","1","0.321928094887362"
"75","sp|P41277|GPP1_YEAST","conditionC-conditionB",30.2596867346074,1.21692833510156e-06,-0.394808934918458,0.00010616482795426,"YEAST","1","0.321928094887362"
"76","sp|Q15311|RBP1_HUMAN","conditionC-conditionB",30.1973410439232,1.25424500818649e-06,-0.744015800434417,0.00010725557874883,"HUMAN","0","0"
"77","sp|P18239|ADT2_YEAST","conditionC-conditionB",30.1842638070098,1.2622160421305e-06,-0.305866893530688,0.00010725557874883,"YEAST","1","0.321928094887362"
"78","sp|P0C2H6|RL27A_YEAST;sp|P0C2H7|RL27B_YEAST","conditionC-conditionB",30.0556496062743,1.34335519008655e-06,-0.34404698624189,0.000112686833445337,"YEAST","1","0.321928094887362"
"79","sp|P32473|ODPB_YEAST","conditionC-conditionB",29.9624124117092,1.40541116799842e-06,-0.40143281667788,0.000116400066736881,"YEAST","1","0.321928094887362"
"80","sp|P11076|ARF1_YEAST","conditionC-conditionB",29.8920766060994,1.45411040797239e-06,-0.261254868177698,0.000118928054992042,"YEAST","1","0.321928094887362"
"81","sp|P19414|ACON_YEAST","conditionC-conditionB",29.7904764042054,1.52744451209497e-06,-0.445139581073136,0.000120888723628809,"YEAST","1","0.321928094887362"
"82","sp|P05317|RLA0_YEAST","conditionC-conditionB",29.7769351380422,1.53749321352148e-06,-0.401439006725035,0.000120888723628809,"YEAST","1","0.321928094887362"
"83","sp|P20606|SAR1_YEAST","conditionC-conditionB",29.7580189216069,1.55164109316708e-06,-0.361175204487953,0.000120888723628809,"YEAST","1","0.321928094887362"
"84","sp|P32582|CBS_YEAST","conditionC-conditionB",29.7575582154244,1.55198728180039e-06,-0.328723657058802,0.000120888723628809,"YEAST","1","0.321928094887362"
"85","sp|P13188|SYQ_YEAST","conditionC-conditionB",29.7315955762296,1.57162146485756e-06,-0.307410380644406,0.000120931156717391,"YEAST","1","0.321928094887362"
"86","sp|P54839|ERG13_YEAST","conditionC-conditionB",29.7082382512087,1.58949709272438e-06,-0.351569167428718,0.000120931156717391,"YEAST","1","0.321928094887362"
"87","sp|P40506|PPCS_YEAST","conditionC-conditionB",29.6369518956891,1.64531756474684e-06,-1.13433587173819,0.00012373922788665,"YEAST","1","0.321928094887362"
"88","sp|Q05506|SYRC_YEAST","conditionC-conditionB",29.5182356554566,1.74265235763915e-06,-0.40967576293243,0.000124848811797564,"YEAST","1","0.321928094887362"
"89","sp|P05749|RL22A_YEAST","conditionC-conditionB",29.5174942586595,1.74327793400764e-06,-0.365887659747548,0.000124848811797564,"YEAST","1","0.321928094887362"
"90","sp|P40518|ARPC5_YEAST","conditionC-conditionB",29.5127847038216,1.7472570017496e-06,-1.13806901108418,0.000124848811797564,"YEAST","1","0.321928094887362"
"91","sp|P38221|CDS1_YEAST","conditionC-conditionB",29.5115878714732,1.7482696398341e-06,-0.293240316428971,0.000124848811797564,"YEAST","1","0.321928094887362"
"92","sp|P32905|RSSA1_YEAST","conditionC-conditionB",29.4820658152734,1.77343443630296e-06,-0.412695457070132,0.000124848811797564,"YEAST","1","0.321928094887362"
"93","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","conditionC-conditionB",29.4762065367782,1.77847174587242e-06,0.252802643855272,0.000124848811797564,"YEAST","1","0.321928094887362"
"94","sp|P23254|TKT1_YEAST","conditionC-conditionB",29.4586623602925,1.79364027341755e-06,0.332532864471315,0.000124848811797564,"YEAST","1","0.321928094887362"
"95","sp|P00447|SODM_YEAST","conditionC-conditionB",29.3841011722505,1.85955856657483e-06,-0.557442382317493,0.000127593021898218,"YEAST","1","0.321928094887362"
"96","sp|P07259|PYR1_YEAST","conditionC-conditionB",29.3702515759831,1.87206634605364e-06,-0.473166296519929,0.000127593021898218,"YEAST","1","0.321928094887362"
"97","sp|P39938|RS26A_YEAST;sp|P39939|RS26B_YEAST","conditionC-conditionB",29.3138357278216,1.92388975106539e-06,-0.413834660830227,0.000129773305579596,"YEAST","1","0.321928094887362"
"98","sp|P25491|MAS5_YEAST","conditionC-conditionB",29.001179187662,2.23815168609587e-06,-0.348677760758946,0.000149430882470666,"YEAST","1","0.321928094887362"
"99","sp|Q00764|TPS1_YEAST","conditionC-conditionB",28.9367051867723,2.30906905596129e-06,0.437731120835383,0.000152608473062169,"YEAST","1","0.321928094887362"
"100","sp|P04806|HXKA_YEAST","conditionC-conditionB",28.8663946158142,2.38896417104062e-06,-0.2948173453844,0.000155927081166643,"YEAST","1","0.321928094887362"
"101","sp|P06169|PDC1_YEAST","conditionC-conditionB",28.8508952519602,2.40694409259223e-06,-0.303883842083657,0.000155927081166643,"YEAST","1","0.321928094887362"
"102","sp|P35997|RS27A_YEAST;sp|P38711|RS27B_YEAST","conditionC-conditionB",28.7645233312741,2.50964015213739e-06,-0.348820240036934,0.000160986034465049,"YEAST","1","0.321928094887362"
"103","sp|P0C0V8|RS21A_YEAST","conditionC-conditionB",28.6964130706119,2.59369670163601e-06,-0.297888956838499,0.000164762694357324,"YEAST","1","0.321928094887362"
"104","sp|P40185|MMF1_YEAST","conditionC-conditionB",28.5818476453401,2.74146816259258e-06,-0.396121853594371,0.00017142049208282,"YEAST","1","0.321928094887362"
"105","sp|Q9UPY5|XCT_HUMAN","conditionC-conditionB",28.5575123512741,2.77392264247389e-06,0.96854345036488,0.00017142049208282,"HUMAN","0","0"
"106","sp|P53163|MNP1_YEAST","conditionC-conditionB",28.5551443822118,2.77710104856776e-06,-0.592289834663596,0.00017142049208282,"YEAST","1","0.321928094887362"
"107","sp|Q07551|KAR_YEAST","conditionC-conditionB",28.5215535594066,2.8225816427474e-06,-0.458114765361469,0.000172599548490619,"YEAST","1","0.321928094887362"
"108","sp|P19882|HSP60_YEAST","conditionC-conditionB",28.446677358593,2.92665311607543e-06,-0.383106744332608,0.000177306401282236,"YEAST","1","0.321928094887362"
"109","sp|P38219|OLA1_YEAST","conditionC-conditionB",28.387873879403,3.01106154843023e-06,0.278645457326708,0.00017961003980095,"YEAST","1","0.321928094887362"
"110","sp|Q01855|RS15_YEAST","conditionC-conditionB",28.3801580463993,3.02231586957191e-06,-0.487399709089917,0.00017961003980095,"YEAST","1","0.321928094887362"
"111","sp|P07284|SYSC_YEAST","conditionC-conditionB",28.349526352851,3.06741082645168e-06,-0.439616528568703,0.00017961003980095,"YEAST","1","0.321928094887362"
"112","sp|P31688|TPS2_YEAST","conditionC-conditionB",28.3447650549005,3.07448027780932e-06,-0.318642866389917,0.00017961003980095,"YEAST","1","0.321928094887362"
"113","sp|P02829|HSP82_YEAST","conditionC-conditionB",28.3191702921987,3.11276219522316e-06,-0.316593211618363,0.000180237195073851,"YEAST","1","0.321928094887362"
"114","sp|P15873|PCNA_YEAST","conditionC-conditionB",28.2585269363552,3.20537497955353e-06,-0.410656728815534,0.000183971653431744,"YEAST","1","0.321928094887362"
"115","sp|P46655|SYEC_YEAST","conditionC-conditionB",28.1483935531316,3.38065304739121e-06,-0.292551316490341,0.000191890305419784,"YEAST","1","0.321928094887362"
"116","sp|P15019|TAL1_YEAST","conditionC-conditionB",28.1353724460601,3.40199838433364e-06,-0.312194815669869,0.000191890305419784,"YEAST","1","0.321928094887362"
"117","sp|P26783|RS5_YEAST","conditionC-conditionB",27.9860335376901,3.65663546542105e-06,-0.239086782128155,0.000204385973101085,"YEAST","1","0.321928094887362"
"118","sp|P60010|ACT_YEAST","conditionC-conditionB",27.9620978462515,3.69918012554926e-06,-0.332193999908998,0.000204385973101085,"YEAST","1","0.321928094887362"
"119","sp|Q6P9B6|MEAK7_HUMAN","conditionC-conditionB",27.9520177471634,3.7172445054301e-06,-0.660043165908887,0.000204385973101085,"HUMAN","0","0"
"120","sp|P39954|SAHH_YEAST","conditionC-conditionB",27.7228639853139,4.15250413821067e-06,-0.35474894114674,0.000226415288135937,"YEAST","1","0.321928094887362"
"121","sp|P16862|PFKA2_YEAST","conditionC-conditionB",27.624172297922,4.35528900222248e-06,-0.347948828100597,0.000235509553235882,"YEAST","1","0.321928094887362"
"122","sp|P02400|RLA4_YEAST","conditionC-conditionB",27.5624272790698,4.48715136991407e-06,-0.303803912705934,0.000240651077158588,"YEAST","1","0.321928094887362"
"123","sp|P40159|YNU8_YEAST","conditionC-conditionB",27.518449254815,4.5834919201182e-06,-0.558782636112004,0.000242299520446084,"YEAST","1","0.321928094887362"
"124","sp|P15992|HSP26_YEAST","conditionC-conditionB",27.5146315946535,4.59195178592608e-06,-0.319845069546499,0.000242299520446084,"YEAST","1","0.321928094887362"
"125","sp|P0CX41|RL23A_YEAST;sp|P0CX42|RL23B_YEAST","conditionC-conditionB",27.4564251974221,4.72288214647953e-06,-0.383904543118179,0.000245742162605264,"YEAST","1","0.321928094887362"
"126","sp|P53141|MLC1_YEAST","conditionC-conditionB",27.4522957391275,4.7323112468689e-06,-0.377765421867446,0.000245742162605264,"YEAST","1","0.321928094887362"
"127","sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST","conditionC-conditionB",27.4212769306049,4.80374169498088e-06,-0.271859370161133,0.000246153076353678,"YEAST","1","0.321928094887362"
"128","sp|P38773|DOG2_YEAST;sp|P38774|DOG1_YEAST","conditionC-conditionB",27.4162296411552,4.81546595954008e-06,-0.382068713644267,0.000246153076353678,"YEAST","1","0.321928094887362"
"129","sp|P23248|RS3A2_YEAST","conditionC-conditionB",27.376394287521,4.90900607119649e-06,-0.315731534084643,0.000248989354448361,"YEAST","1","0.321928094887362"
"130","sp|P48164|RS7B_YEAST","conditionC-conditionB",27.3412754240993,4.99297313683034e-06,-0.274429160846998,0.000251300178725238,"YEAST","1","0.321928094887362"
"131","sp|P32471|EF1B_YEAST","conditionC-conditionB",27.3136883301445,5.05993564647866e-06,-0.359769724709633,0.000252726404083282,"YEAST","1","0.321928094887362"
"132","sp|P0C2H8|RL31A_YEAST","conditionC-conditionB",27.244079104917,5.2329077676605e-06,-0.469175259448697,0.000259385723665172,"YEAST","1","0.321928094887362"
"133","sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST","conditionC-conditionB",27.2075522648573,5.32602015124173e-06,-0.310627839203233,0.000262016164282516,"YEAST","1","0.321928094887362"
"134","sp|P09938|RIR2_YEAST","conditionC-conditionB",27.1270975770725,5.53698120919766e-06,-0.3775981640193,0.000270361701878957,"YEAST","1","0.321928094887362"
"135","sp|P00925|ENO2_YEAST","conditionC-conditionB",26.9942331659572,5.90376741205212e-06,-0.322658684550237,0.000286135927237459,"YEAST","1","0.321928094887362"
"136","sp|P48836|VATG_YEAST","conditionC-conditionB",26.9437046326428,6.04953213090287e-06,-0.366623844668645,0.000291044770091893,"YEAST","1","0.321928094887362"
"137","sp|Q12363|WTM1_YEAST","conditionC-conditionB",26.9146634696903,6.13492884804501e-06,-0.338475876131092,0.000292998828122325,"YEAST","1","0.321928094887362"
"138","sp|P53090|ARO8_YEAST","conditionC-conditionB",26.8814109088129,6.23418684764232e-06,-0.374884820368872,0.000295581772058867,"YEAST","1","0.321928094887362"
"139","sp|P15624|SYFB_YEAST","conditionC-conditionB",26.8478148475313,6.33609686540026e-06,-0.415204181784036,0.000297465716234645,"YEAST","1","0.321928094887362"
"140","sp|P00942|TPIS_YEAST","conditionC-conditionB",26.8384340881149,6.36484797078563e-06,-0.293998313825966,0.000297465716234645,"YEAST","1","0.321928094887362"
"141","sp|P33299|PRS7_YEAST","conditionC-conditionB",26.7211020221441,6.73564392150716e-06,-0.426910264555787,0.000310838965927628,"YEAST","1","0.321928094887362"
"142","sp|P05743|RL26A_YEAST","conditionC-conditionB",26.7179156828289,6.74600843064699e-06,-0.294243603428869,0.000310838965927628,"YEAST","1","0.321928094887362"
"143","sp|P38077|ATPG_YEAST","conditionC-conditionB",26.6853252433261,6.85293615354521e-06,-0.473000608080437,0.000313557770997527,"YEAST","1","0.321928094887362"
"144","sp|P28834|IDH1_YEAST","conditionC-conditionB",26.6464586800406,6.98266773391243e-06,-0.374096369203839,0.000314006968610256,"YEAST","1","0.321928094887362"
"145","sp|P38009|PUR92_YEAST","conditionC-conditionB",26.6449684719736,6.98769032092539e-06,-0.341794483755629,0.000314006968610256,"YEAST","1","0.321928094887362"
"146","sp|P14120|RL30_YEAST","conditionC-conditionB",26.6393298263186,7.00672740594488e-06,-0.397906842397575,0.000314006968610256,"YEAST","1","0.321928094887362"
"147","sp|P32614|FRDS_YEAST","conditionC-conditionB",26.5401018098231,7.35033197118984e-06,-0.484152616867409,0.000327164776105409,"YEAST","1","0.321928094887362"
"148","sp|P02994|EF1A_YEAST","conditionC-conditionB",26.5101207711395,7.45741838359404e-06,-0.324390491180836,0.000329192124659324,"YEAST","1","0.321928094887362"
"149","sp|P50861|RIB4_YEAST","conditionC-conditionB",26.499284757318,7.49650413789382e-06,-0.423916975085364,0.000329192124659324,"YEAST","1","0.321928094887362"
"150","sp|Q9UNW1|MINP1_HUMAN","conditionC-conditionB",26.4671048385446,7.61378626645826e-06,-0.483163727983237,0.000331448728462927,"HUMAN","0","0"
"151","sp|P39683|NPT1_YEAST","conditionC-conditionB",26.4574833751924,7.64920647988721e-06,-0.355996320875606,0.000331448728462927,"YEAST","1","0.321928094887362"
"152","sp|P41338|ERG10_YEAST","conditionC-conditionB",26.3767869747705,7.95282360044336e-06,-0.421463654599996,0.000341029948548331,"YEAST","1","0.321928094887362"
"153","sp|P40069|IMB4_YEAST","conditionC-conditionB",26.3711267745182,7.97456550938325e-06,-0.364997084852794,0.000341029948548331,"YEAST","1","0.321928094887362"
"154","sp|Q04344|HNT1_YEAST","conditionC-conditionB",26.3547408177526,8.03784187453083e-06,-0.817837766439053,0.000341503892110748,"YEAST","1","0.321928094887362"
"155","sp|P07280|RS19A_YEAST;sp|P07281|RS19B_YEAST","conditionC-conditionB",26.2105579534755,8.61665748608242e-06,-0.444420074997719,0.000362857162887309,"YEAST","1","0.321928094887362"
"156","sp|P04147|PABP_YEAST","conditionC-conditionB",26.2022280087641,8.65133996796885e-06,-0.338770364522503,0.000362857162887309,"YEAST","1","0.321928094887362"
"157","sp|P22803|TRX2_YEAST","conditionC-conditionB",26.1858148934992,8.72008539443136e-06,-0.297238035276466,0.000363410947361557,"YEAST","1","0.321928094887362"
"158","sp|P38968|SEC31_YEAST","conditionC-conditionB",26.1548339762912,8.85133534500593e-06,-0.33657370195257,0.000366546121280847,"YEAST","1","0.321928094887362"
"159","sp|P38708|YHI0_YEAST","conditionC-conditionB",26.1054869469449,9.06447292225998e-06,-0.421411177464547,0.000373011612140548,"YEAST","1","0.321928094887362"
