"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P0CX29|RS23A_YEAST;sp|P0CX30|RS23B_YEAST","sp|P0CX29|RS23A_YEAST;sp|P0CX30|RS23B_YEAST","0.999642736074971","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","0.86933920881016","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX41|RL23A_YEAST;sp|P0CX42|RL23B_YEAST","sp|P0CX41|RL23A_YEAST;sp|P0CX42|RL23B_YEAST","0.932311292261069","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX49|RL18A_YEAST;sp|P0CX50|RL18B_YEAST","sp|P0CX49|RL18A_YEAST;sp|P0CX50|RL18B_YEAST","0.964235677466862","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX51|RS16A_YEAST;sp|P0CX52|RS16B_YEAST","sp|P0CX51|RS16A_YEAST;sp|P0CX52|RS16B_YEAST","0.957956087597754","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","0.847900233418475","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P10659|METK1_YEAST","sp|P10659|METK1_YEAST","0.863180096231982","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P12709|G6PI_YEAST","sp|P12709|G6PI_YEAST","0.907797813976284","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P13663|DHAS_YEAST","sp|P13663|DHAS_YEAST","0.97155649139583","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P13856|RSR1_YEAST","sp|P13856|RSR1_YEAST","1.05303399527181","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P14020|DPM1_YEAST","sp|P14020|DPM1_YEAST","0.861779669347097","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P14306|CPYI_YEAST","sp|P14306|CPYI_YEAST","0.918925846953767","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15454|KGUA_YEAST","sp|P15454|KGUA_YEAST","0.88114307166903","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15624|SYFB_YEAST","sp|P15624|SYFB_YEAST","0.900058196527548","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15646|FBRL_YEAST","sp|P15646|FBRL_YEAST","0.870731354213673","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15731|UBC4_YEAST","sp|P15731|UBC4_YEAST","0.9931755931705","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15873|PCNA_YEAST","sp|P15873|PCNA_YEAST","0.892860333592036","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15992|HSP26_YEAST","sp|P15992|HSP26_YEAST","0.872150935997631","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16140|VATB_YEAST","sp|P16140|VATB_YEAST","0.900692909176644","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16370|RPB3_YEAST","sp|P16370|RPB3_YEAST","0.956704776802303","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16550|APA1_YEAST","sp|P16550|APA1_YEAST","0.908543536047587","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16861|PFKA1_YEAST","sp|P16861|PFKA1_YEAST","0.882876442078771","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16862|PFKA2_YEAST","sp|P16862|PFKA2_YEAST","0.867370972639058","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17076|RL8A_YEAST","sp|P17076|RL8A_YEAST","0.877263281851572","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17695|GLRX2_YEAST","sp|P17695|GLRX2_YEAST","0.919766135232623","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17709|HXKG_YEAST","sp|P17709|HXKG_YEAST","0.863535080696924","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17891|CLC1_YEAST","sp|P17891|CLC1_YEAST","0.926486548772541","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P18852|GBG_YEAST","sp|P18852|GBG_YEAST","1.05316150196853","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P19414|ACON_YEAST","sp|P19414|ACON_YEAST","0.914199692459658","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P20051|PYRC_YEAST","sp|P20051|PYRC_YEAST","0.911239051316981","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P20081|FKBP_YEAST","sp|P20081|FKBP_YEAST","0.997406404419689","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P20459|IF2A_YEAST","sp|P20459|IF2A_YEAST","0.8984970893847","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P21242|PSA7_YEAST","sp|P21242|PSA7_YEAST","0.916207158110868","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P21560|CBP3_YEAST","sp|P21560|CBP3_YEAST","1.1804721432724","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P21576|VPS1_YEAST","sp|P21576|VPS1_YEAST","0.831094658201486","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22137|CLH_YEAST","sp|P22137|CLH_YEAST","0.832287064310959","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22140|EPT1_YEAST","sp|P22140|EPT1_YEAST","0.994324408473499","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22147|XRN1_YEAST","sp|P22147|XRN1_YEAST","0.87520977653975","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22202|HSP74_YEAST","sp|P22202|HSP74_YEAST","0.89640145179874","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P23254|TKT1_YEAST","sp|P23254|TKT1_YEAST","0.834691855002816","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P23291|KC11_YEAST","sp|P23291|KC11_YEAST","0.878142680415564","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P23301|IF5A1_YEAST","sp|P23301|IF5A1_YEAST","0.855882132097511","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25299|RNA15_YEAST","sp|P25299|RNA15_YEAST","1.10611793266105","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25342|CDC10_YEAST","sp|P25342|CDC10_YEAST","0.897622118776106","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25349|YCP4_YEAST","sp|P25349|YCP4_YEAST","0.968817321730507","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25443|RS2_YEAST","sp|P25443|RS2_YEAST","0.949604578925211","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25573|MGR1_YEAST","sp|P25573|MGR1_YEAST","1.02307851230654","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25619|HSP30_YEAST","sp|P25619|HSP30_YEAST","1.03295482891946","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26785|RL16B_YEAST","sp|P26785|RL16B_YEAST","0.908689297824308","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26786|RS7A_YEAST","sp|P26786|RS7A_YEAST","0.96726111764464","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P27614|CBPS_YEAST","sp|P27614|CBPS_YEAST","0.827785439282094","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P27705|MIG1_YEAST","sp|P27705|MIG1_YEAST","0.943195005277099","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P28241|IDH2_YEAST","sp|P28241|IDH2_YEAST","0.876849705775024","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P29509|TRXB1_YEAST","sp|P29509|TRXB1_YEAST","0.874130059012968","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P30657|PSB7_YEAST","sp|P30657|PSB7_YEAST","0.974956774529312","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P31539|HS104_YEAST","sp|P31539|HS104_YEAST","0.828736053523208","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32263|P5CR_YEAST","sp|P32263|P5CR_YEAST","0.95251558187487","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32337|IMB3_YEAST","sp|P32337|IMB3_YEAST","0.928399990397116","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32352|ERG2_YEAST","sp|P32352|ERG2_YEAST","1.05868805000789","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32419|MDHP_YEAST","sp|P32419|MDHP_YEAST","0.87311609516745","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32458|CDC11_YEAST","sp|P32458|CDC11_YEAST","0.954809187922516","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32473|ODPB_YEAST","sp|P32473|ODPB_YEAST","0.892364889838916","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32582|CBS_YEAST","sp|P32582|CBS_YEAST","0.904420756705175","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32589|HSP7F_YEAST","sp|P32589|HSP7F_YEAST","0.883065744643439","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32590|HSP79_YEAST","sp|P32590|HSP79_YEAST","0.971373371027893","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32598|PP12_YEAST","sp|P32598|PP12_YEAST","0.917561997588333","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32602|SEC17_YEAST","sp|P32602|SEC17_YEAST","0.924060330792356","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32610|VATD_YEAST","sp|P32610|VATD_YEAST","0.969020262383012","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32798|COT1_YEAST","sp|P32798|COT1_YEAST","1.01117346241378","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32867|SSO1_YEAST","sp|P32867|SSO1_YEAST","0.888905356229344","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32897|TIM23_YEAST","sp|P32897|TIM23_YEAST","1.04494263036666","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33322|CBF5_YEAST","sp|P33322|CBF5_YEAST","0.896554355440557","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33327|DHE2_YEAST","sp|P33327|DHE2_YEAST","0.882049757673029","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33399|LHP1_YEAST","sp|P33399|LHP1_YEAST","0.871011796325114","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33442|RS3A1_YEAST","sp|P33442|RS3A1_YEAST","0.878708622762851","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33448|TOM6_YEAST","sp|P33448|TOM6_YEAST","0.987266002008521","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P34227|PRX1_YEAST","sp|P34227|PRX1_YEAST","0.920142741517076","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P34240|ZRT3_YEAST","sp|P34240|ZRT3_YEAST","1.12970590968328","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P35176|CYPD_YEAST","sp|P35176|CYPD_YEAST","0.912191318827983","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P35844|KES1_YEAST","sp|P35844|KES1_YEAST","0.884363209344871","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P36060|MCR1_YEAST","sp|P36060|MCR1_YEAST","0.888281033827948","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P36068|SHE2_YEAST","sp|P36068|SHE2_YEAST","0.985364498501218","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P36139|PET10_YEAST","sp|P36139|PET10_YEAST","0.92576563455877","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P37012|PGM2_YEAST","sp|P37012|PGM2_YEAST","0.861367597180916","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38079|YRO2_YEAST","sp|P38079|YRO2_YEAST","1.06363514645758","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38081|YBQ6_YEAST","sp|P38081|YBQ6_YEAST","0.843830202893256","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38137|FAT2_YEAST","sp|P38137|FAT2_YEAST","0.851877464849025","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38174|MAP2_YEAST","sp|P38174|MAP2_YEAST","0.846335087292573","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38219|OLA1_YEAST","sp|P38219|OLA1_YEAST","0.872214588971154","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38249|EIF3A_YEAST","sp|P38249|EIF3A_YEAST","0.889363821538415","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38250|IST2_YEAST","sp|P38250|IST2_YEAST","0.956044589522804","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38314|SDS24_YEAST","sp|P38314|SDS24_YEAST","0.912845616704272","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38351|PAF1_YEAST","sp|P38351|PAF1_YEAST","0.934103575137804","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38523|GRPE_YEAST","sp|P38523|GRPE_YEAST","0.956973219131564","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38616|YGP1_YEAST","sp|P38616|YGP1_YEAST","0.861298349072829","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38720|6PGD1_YEAST","sp|P38720|6PGD1_YEAST","0.874979311818858","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38777|FSH1_YEAST","sp|P38777|FSH1_YEAST","0.897880323732638","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38791|DHYS_YEAST","sp|P38791|DHYS_YEAST","0.847120319189267","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38812|GEP4_YEAST","sp|P38812|GEP4_YEAST","1.08999389084263","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38825|TOM71_YEAST","sp|P38825|TOM71_YEAST","0.911210826995834","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38836|ECM14_YEAST","sp|P38836|ECM14_YEAST","1.05398117692924","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38845|CRP1_YEAST","sp|P38845|CRP1_YEAST","0.882259344503133","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38874|ELP5_YEAST","sp|P38874|ELP5_YEAST","0.961467706648461","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38879|NACA_YEAST","sp|P38879|NACA_YEAST","0.955540016551929","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38891|BCA1_YEAST","sp|P38891|BCA1_YEAST","0.875155614764365","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38972|PUR4_YEAST","sp|P38972|PUR4_YEAST","0.883531548214053","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38996|NAB3_YEAST","sp|P38996|NAB3_YEAST","0.901193133533914","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39015|STM1_YEAST","sp|P39015|STM1_YEAST","0.894850955809641","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39111|VATF_YEAST","sp|P39111|VATF_YEAST","0.90601312645388","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39676|FHP_YEAST","sp|P39676|FHP_YEAST","0.917952432550759","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39714|BDH1_YEAST","sp|P39714|BDH1_YEAST","0.860400820759578","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39730|IF2P_YEAST","sp|P39730|IF2P_YEAST","0.868179982257324","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39926|SSO2_YEAST","sp|P39926|SSO2_YEAST","0.926822613358402","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39954|SAHH_YEAST","sp|P39954|SAHH_YEAST","0.941908857529718","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39986|SPF1_YEAST","sp|P39986|SPF1_YEAST","0.83387513375664","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40070|LSM4_YEAST","sp|P40070|LSM4_YEAST","1.05533255649983","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40159|YNU8_YEAST","sp|P40159|YNU8_YEAST","1.01784046638839","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40164|PP4R3_YEAST","sp|P40164|PP4R3_YEAST","0.990815068732088","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40188|RGI2_YEAST","sp|P40188|RGI2_YEAST","0.894605503031897","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40327|PRS4_YEAST","sp|P40327|PRS4_YEAST","0.956798823123837","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40456|ESL1_YEAST","sp|P40456|ESL1_YEAST","1.31195451941333","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40471|AYR1_YEAST","sp|P40471|AYR1_YEAST","0.9746919618027","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40525|RL34B_YEAST;sp|P87262|RL34A_YEAST","sp|P40525|RL34B_YEAST;sp|P87262|RL34A_YEAST","0.865445718101268","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40529|AGE2_YEAST","sp|P40529|AGE2_YEAST","1.03758053331462","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40535|ACA2_YEAST","sp|P40535|ACA2_YEAST","0.955311108691291","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40825|SYA_YEAST","sp|P40825|SYA_YEAST","0.890555283942266","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40893|REE1_YEAST","sp|P40893|REE1_YEAST","0.947513971520697","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41277|GPP1_YEAST","sp|P41277|GPP1_YEAST","0.900392896147387","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41338|ERG10_YEAST","sp|P41338|ERG10_YEAST","0.902339697652716","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41807|VATH_YEAST","sp|P41807|VATH_YEAST","0.856464839211021","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41911|GPD2_YEAST","sp|P41911|GPD2_YEAST","0.899221188754932","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P43598|IGD1_YEAST","sp|P43598|IGD1_YEAST","0.935030791753533","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P43611|OSW7_YEAST","sp|P43611|OSW7_YEAST","1.219603722601","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P43612|SA155_YEAST","sp|P43612|SA155_YEAST","0.879540201639246","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46655|SYEC_YEAST","sp|P46655|SYEC_YEAST","0.868990541619468","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46672|ARC1_YEAST","sp|P46672|ARC1_YEAST","0.85761541314287","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46956|PHO86_YEAST","sp|P46956|PHO86_YEAST","0.883845833523109","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46962|CTK2_YEAST","sp|P46962|CTK2_YEAST","1.28047589155887","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46969|RPE_YEAST","sp|P46969|RPE_YEAST","0.947282154191409","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46990|RL17B_YEAST","sp|P46990|RL17B_YEAST","0.907677676676501","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P47108|URB2_YEAST","sp|P47108|URB2_YEAST","0.948085900325735","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P47120|DOHH_YEAST","sp|P47120|DOHH_YEAST","0.892845388167938","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P47137|YJ66_YEAST","sp|P47137|YJ66_YEAST","0.880253643248039","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P47155|ILM1_YEAST","sp|P47155|ILM1_YEAST","1.13081292141615","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P47912|LCF4_YEAST","sp|P47912|LCF4_YEAST","0.961907105614994","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P49090|ASNS2_YEAST","sp|P49090|ASNS2_YEAST","0.852555191079794","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P49166|RL37A_YEAST","sp|P49166|RL37A_YEAST","1.02372084538884","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P49954|NIT3_YEAST","sp|P49954|NIT3_YEAST","0.88722641869656","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P50106|RPA14_YEAST","sp|P50106|RPA14_YEAST","1.10436464897812","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P50109|PSP2_YEAST","sp|P50109|PSP2_YEAST","0.895531978194999","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P50861|RIB4_YEAST","sp|P50861|RIB4_YEAST","0.97315020545515","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P52870|SC6B1_YEAST","sp|P52870|SC6B1_YEAST","1.02334161605899","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53066|YGZ2_YEAST","sp|P53066|YGZ2_YEAST","0.927688026539979","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53073|EMC4_YEAST","sp|P53073|EMC4_YEAST","1.0171547634046","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53178|ALG13_YEAST","sp|P53178|ALG13_YEAST","1.03453573597186","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53184|PNC1_YEAST","sp|P53184|PNC1_YEAST","0.874795938129468","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53274|YG36_YEAST","sp|P53274|YG36_YEAST","0.991475404162529","0","0","conditionB-conditionA","YEAST","1","-1"
